Transcription factor	p-value	fdr	enrichment	Intersection Genes
NAC002	2.39754215295321e-05	6.66546825208985e-05	1.2884375	AT1G01120,AT1G01720,AT1G03630,AT1G05100,AT1G07430,AT1G09530,AT1G10740,AT1G14730,AT1G15670,AT1G22190,AT1G22640,AT1G23040,AT1G25560,AT1G27670,AT1G32550,AT1G53560,AT1G53700,AT1G58270,AT1G58340,AT1G63680,AT1G64640,AT1G69260,AT1G69480,AT1G70200,AT1G71970,AT1G73480,AT1G79270,AT2G01570,AT2G02710,AT2G14750,AT2G16440,AT2G18550,AT2G18700,AT2G19570,AT2G22430,AT2G25900,AT2G26170,AT2G27830,AT2G28110,AT2G29090,AT2G30140,AT2G31750,AT2G35950,AT2G36080,AT2G36270,AT2G37640,AT2G38120,AT2G38400,AT2G43060,AT2G45400,AT3G03270,AT3G04000,AT3G06760,AT3G08670,AT3G13720,AT3G14067,AT3G15770,AT3G16910,AT3G17520,AT3G19580,AT3G19590,AT3G21260,AT3G26510,AT3G27170,AT3G29575,AT3G44610,AT3G58120,AT3G59940,AT4G02280,AT4G05020,AT4G11360,AT4G13180,AT4G14550,AT4G20870,AT4G27657,AT4G30390,AT4G32890,AT4G33660,AT4G36530,AT4G36740,AT4G38860,AT5G01520,AT5G01840,AT5G04760,AT5G05220,AT5G05410,AT5G05860,AT5G06760,AT5G06980,AT5G07000,AT5G11090,AT5G13330,AT5G14690,AT5G15410,AT5G17850,AT5G18490,AT5G19860,AT5G20700,AT5G22880,AT5G22940,AT5G23730,AT5G37540,AT5G43260,AT5G44260,AT5G47370,AT5G47560,AT5G47610,AT5G49360,AT5G50360,AT5G51210,AT5G52520,AT5G52570,AT5G53970,AT5G54300,AT5G54510,AT5G55180,AT5G57900,AT5G58650,AT5G60850,AT5G61810,AT5G63800,AT5G65380,AT5G66080,AT5G66700
AtbZIP52	0.462577474184665	0.534855204526019	1.01864161849711	AT1G05100,AT1G07090,AT1G14730,AT1G15660,AT1G15670,AT1G18370,AT1G22190,AT1G25560,AT1G30130,AT1G52880,AT1G64640,AT1G71960,AT1G79700,AT1G80110,AT2G18700,AT2G31750,AT2G39010,AT2G39670,AT2G41950,AT2G42380,AT3G17100,AT3G19590,AT3G27170,AT3G44610,AT3G54990,AT3G58120,AT3G59940,AT4G01120,AT4G14770,AT4G16390,AT4G27260,AT4G27280,AT4G33660,AT4G34000,AT4G36740,AT4G38690,AT5G01520,AT5G06980,AT5G07460,AT5G09870,AT5G15410,AT5G19110,AT5G19120,AT5G22940,AT5G37540,AT5G51210,AT5G51560,AT5G53970,AT5G54510,AT5G55180,AT5G61810,AT5G64260,AT5G65380
PIF3	0.00304392688573218	0.00489675194661264	2.15147058823529	AT1G07090,AT1G11210,AT1G53180,AT1G56600,AT1G69260,AT1G71970,AT2G46270,AT3G29575,AT3G45600,AT3G58120,AT4G34000
MYB3	1.53264302369983e-06	6.3008657640993e-06	2.0615	AT1G01720,AT1G05100,AT1G23040,AT1G23050,AT1G23870,AT1G53180,AT1G60190,AT1G69260,AT1G73480,AT1G77450,AT1G80110,AT2G25900,AT2G27830,AT2G29090,AT2G30140,AT2G36080,AT3G10985,AT3G11690,AT3G19590,AT4G02280,AT4G05020,AT4G27260,AT4G34000,AT5G01520,AT5G02020,AT5G05410,AT5G13330,AT5G37540,AT5G53970,AT5G55180,AT5G64260
ZAT10	0.992344406955377	0.992344406955377	0.880361050328228	AT1G01370,AT1G01520,AT1G01620,AT1G01720,AT1G05100,AT1G07090,AT1G07430,AT1G09530,AT1G14840,AT1G15660,AT1G18370,AT1G19050,AT1G22190,AT1G27670,AT1G30040,AT1G32550,AT1G53180,AT1G53560,AT1G56220,AT1G58270,AT1G58340,AT1G63680,AT1G68780,AT1G69480,AT1G69850,AT1G70200,AT1G71970,AT1G75810,AT1G77450,AT1G79270,AT1G79520,AT1G80110,AT2G01570,AT2G02710,AT2G14750,AT2G16720,AT2G18550,AT2G18700,AT2G19580,AT2G22850,AT2G27420,AT2G27830,AT2G29090,AT2G29510,AT2G34640,AT2G35950,AT2G37640,AT2G38120,AT2G38810,AT2G39670,AT2G40900,AT2G41250,AT2G41950,AT2G44080,AT2G46270,AT3G02480,AT3G05910,AT3G08670,AT3G10985,AT3G11690,AT3G14350,AT3G14890,AT3G15770,AT3G17100,AT3G19380,AT3G19590,AT3G20260,AT3G27170,AT3G44610,AT3G45600,AT3G50560,AT3G52110,AT3G54990,AT3G59940,AT3G61630,AT4G01120,AT4G01330,AT4G02280,AT4G05020,AT4G14770,AT4G14930,AT4G17560,AT4G21510,AT4G23870,AT4G27260,AT4G27657,AT4G31800,AT4G33660,AT4G34000,AT4G34160,AT4G35720,AT4G36530,AT4G36740,AT4G37410,AT5G01840,AT5G03460,AT5G04760,AT5G05690,AT5G11090,AT5G14690,AT5G19110,AT5G20700,AT5G22940,AT5G23730,AT5G37540,AT5G47560,AT5G47610,AT5G49360,AT5G51210,AT5G51560,AT5G52520,AT5G53980,AT5G54300,AT5G54510,AT5G55820,AT5G58650,AT5G59010,AT5G60850,AT5G62790,AT5G63800,AT5G64260
ERF055	0.0383490063062615	0.056756529333267	1.55166666666667	AT1G15670,AT1G22330,AT1G53700,AT1G73500,AT2G16440,AT2G45400,AT3G03270,AT3G53420,AT4G31800,AT4G32890,AT4G33660,AT5G01840,AT5G23730,AT5G44260
VIP1	0.136678156557477	0.187299696023209	1.25471698113208	AT1G15670,AT1G71960,AT2G25900,AT2G41950,AT2G42380,AT3G17100,AT3G44610,AT3G58120,AT4G01120,AT4G14770,AT4G16390,AT4G27260,AT5G07460,AT5G15410,AT5G19120,AT5G22940,AT5G51560,AT5G54510,AT5G61810,AT5G64260
ERF014	0.0988810134108442	0.140715288315432	1.246875	AT1G07430,AT1G23040,AT1G73500,AT2G02710,AT2G16440,AT2G21180,AT2G29090,AT2G38120,AT2G45400,AT3G19380,AT3G45600,AT3G53420,AT3G59940,AT4G16390,AT4G32890,AT4G33660,AT4G37410,AT5G01840,AT5G09870,AT5G11090,AT5G13330,AT5G14690,AT5G19110,AT5G23730,AT5G50360,AT5G55180,AT5G60850
NAC018	3.51546783062291e-05	8.67148731553651e-05	1.38409090909091	AT1G01120,AT1G03630,AT1G06040,AT1G07430,AT1G10740,AT1G11210,AT1G14730,AT1G15670,AT1G21810,AT1G22190,AT1G22640,AT1G23040,AT1G27670,AT1G53180,AT1G53560,AT1G53700,AT1G58270,AT1G58340,AT1G68780,AT1G69260,AT1G69480,AT1G69850,AT1G70000,AT1G70200,AT1G71960,AT1G71970,AT2G01570,AT2G18550,AT2G18700,AT2G19570,AT2G25900,AT2G26170,AT2G27420,AT2G29090,AT2G31750,AT2G35950,AT2G36080,AT2G37640,AT2G43060,AT2G43710,AT3G03270,AT3G08670,AT3G13720,AT3G15770,AT3G16910,AT3G19580,AT3G19590,AT3G61630,AT4G02280,AT4G05020,AT4G11360,AT4G13180,AT4G14550,AT4G27260,AT4G32890,AT4G36530,AT4G36740,AT4G38860,AT5G01520,AT5G04760,AT5G05220,AT5G05410,AT5G05860,AT5G06760,AT5G07000,AT5G11090,AT5G13330,AT5G16110,AT5G19860,AT5G22880,AT5G22940,AT5G23730,AT5G37540,AT5G44260,AT5G47560,AT5G49360,AT5G52520,AT5G53970,AT5G54300,AT5G57900,AT5G60850,AT5G61810,AT5G63800,AT5G64260,AT5G65380,AT5G66080,AT5G66700
NAP	6.24817141092893e-05	0.000144488963877731	1.40189189189189	AT1G01120,AT1G03630,AT1G06040,AT1G07430,AT1G10740,AT1G14730,AT1G15670,AT1G21810,AT1G22190,AT1G22640,AT1G23040,AT1G25560,AT1G53560,AT1G53700,AT1G58270,AT1G69480,AT1G69850,AT1G70200,AT1G71970,AT2G01570,AT2G18550,AT2G18700,AT2G19570,AT2G25900,AT2G26170,AT2G27420,AT2G27830,AT2G31750,AT2G35950,AT2G36080,AT2G37640,AT2G43060,AT2G43710,AT3G03270,AT3G08670,AT3G13720,AT3G14067,AT3G15770,AT3G16910,AT3G19580,AT3G50560,AT4G02280,AT4G05020,AT4G11360,AT4G13180,AT4G14550,AT4G32890,AT4G36530,AT4G36740,AT4G38860,AT5G01520,AT5G04760,AT5G05220,AT5G05410,AT5G05860,AT5G06760,AT5G07000,AT5G11090,AT5G13330,AT5G14690,AT5G19860,AT5G22880,AT5G22940,AT5G23730,AT5G37540,AT5G44260,AT5G47560,AT5G49360,AT5G52520,AT5G53970,AT5G54300,AT5G57900,AT5G60850,AT5G61810,AT5G63800,AT5G64260,AT5G66080,AT5G66700
