master_regulator 1	master_regulator_2	p-value	fdr	enrichment	Intersection Genes
AT3G18550	AT1G09530	1	1	0	
AT3G18550	AT4G34000	0.402286489870484	0.490170615349882	1.96664397549353	AT5G55180
AT3G18550	AT1G22640	0.458754846809895	0.547189516074453	1.6494433342849	AT5G55180
AT3G18550	AT1G01720	0.0100078720530897	0.0183477654306645	2.90999352471401	AT1G01120,AT1G58270,AT2G14750,AT5G01840,AT5G05860,AT5G55180,AT5G61810
AT3G18550	AT1G77450	0.0577885695276475	0.0860311035073248	2.38938053097345	AT1G11840,AT4G31800,AT4G37410,AT5G05860,AT5G55180
AT3G18550	AT5G05410	0.0207167553112721	0.0344698953918645	3.78761061946903	AT1G01120,AT1G11840,AT4G31800,AT5G55180
AT3G18550	AT1G69490	0.0657039751709419	0.0963658302507148	2.62219196732471	AT1G01120,AT1G58270,AT5G05860,AT5G61810
AT3G18550	AT4G31800	9.83514373536979e-07	3.54065174473312e-06	3.95116653258246	AT1G01120,AT1G06000,AT1G11840,AT1G19050,AT1G58270,AT2G14750,AT3G05910,AT3G14350,AT3G54990,AT4G29700,AT5G01840,AT5G05860,AT5G07460,AT5G08640,AT5G09870,AT5G55180,AT5G55400
AT3G18550	AT4G36740	1.02634968352986e-05	3.12641903598327e-05	3.93328795098707	AT1G01120,AT1G19050,AT1G58270,AT3G14350,AT3G54990,AT4G29700,AT4G31800,AT4G34160,AT4G37410,AT5G01840,AT5G07460,AT5G09870,AT5G19110,AT5G55180
AT3G18550	AT4G14770	0.00651913139123216	0.0127171233050637	4.19120847236327	AT1G58270,AT2G14750,AT4G34160,AT5G01840,AT5G19110
AT3G18550	AT5G60850	0.000658979100863917	0.00147432612396673	3.71124750214102	AT1G19050,AT2G14750,AT2G29510,AT3G05910,AT3G14350,AT3G54990,AT4G34160,AT5G01840,AT5G08640
AT3G18550	AT2G36270	0.0363054391464207	0.0568259047509194	2.43489254108723	AT1G01120,AT1G11840,AT1G58270,AT4G34160,AT5G08640,AT5G55180
AT3G18550	AT2G22540	0.0471379956466743	0.0715197175328851	2.53132392885306	AT1G01120,AT3G54990,AT4G34160,AT5G05860,AT5G55180
AT3G18550	AT2G18550	0.000794269327906713	0.00175715449078804	4.01041124414367	AT1G58270,AT3G14350,AT4G29700,AT4G37410,AT5G01840,AT5G07460,AT5G09870,AT5G19110
AT3G18550	AT1G52880	0.0899839556595795	0.12817858432084	2.3509307293256	AT1G01120,AT1G58270,AT5G05860,AT5G61810
AT3G18550	AT5G66700	3.02113044651748e-05	8.42512434380931e-05	4.46396965865992	AT1G01120,AT1G58270,AT3G14350,AT3G54990,AT4G29700,AT4G34160,AT4G37410,AT5G01840,AT5G09870,AT5G19110,AT5G55180
AT3G18550	AT2G01570	0.0572903425438158	0.0859852617535194	5.11327433628319	AT4G29700,AT4G31800
AT3G18550	AT2G22430	4.27191134965456e-07	1.62661239852231e-06	3.96719560573695	AT1G01120,AT1G06000,AT1G11840,AT1G58270,AT2G14750,AT2G29510,AT3G05910,AT3G14350,AT3G54990,AT4G29700,AT4G31800,AT5G01840,AT5G05860,AT5G07460,AT5G08640,AT5G55180,AT5G55400,AT5G61810
AT3G18550	AT4G01120	1	1	0	
AT3G18550	AT2G43060	1	1	0	
AT3G18550	AT5G47370	0.000426710344202076	0.000965584550308698	4.39851555809306	AT1G01120,AT1G58270,AT2G14750,AT3G54990,AT4G29700,AT4G37410,AT5G01840,AT5G19110
