names	x.pos	y.pos	color	alias	FC	NAC002	AtbZIP52	PIF3	MYB3	ZAT10	ERF055	VIP1	ERF014	NAC018	NAP	ANAC032	RGA	ATHB_21	ATHB_6	SVP	ABI5	IBH1	BRC1	ERF035	GBF2	PDF2	HSFB2B	TCX2	WRKY18	ABF3	ATHB_40	ZAT6	DREB2A	AtMYB56	ERF003	NAC6_ORE1	HAT2	SPCH	DOF5_4	NAC102	ATHB_53	HEC1
AT1G01080	-2223.96175150643	-350.262573242187	#3399FF		-1.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01120	-195.364511921306	-1406.279296875	#FF0033	KCS1	-1.18	1	1	0	1	0	0	0	0	1	1	1	0	0	1	1	1	0	1	0	1	1	0	0	1	1	1	1	0	0	0	1	0	0	0	1	1	1
AT1G01370	-1182.63065572013	-1291.13745117188	#FF0033	CENH3	1.28	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
AT1G01520	1161.28100585938	357.788180767546	#9900FF	ASG4	1.04	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	1	0	1	1	0	1	0	0	0	0	0	1	1	0	0	1
AT1G01620	1021.17419433594	-1053.64135742188	#FF0033	PIP1;3	1.3	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	1
AT1G01720	-1059.19606866417	354.655517578125	#9900FF	ATAF1	2.18	1	0	0	1	1	0	0	0	0	0	1	0	0	1	0	1	0	1	0	1	0	0	0	1	1	0	1	0	0	1	0	0	1	0	0	0	1
AT1G02470	-597.067687988281	815.141906738281	#3399FF		-1.08	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	1	0	1	0	0	1	1	0	0
AT1G02730	-1681.27388716209	-1079.22045898438	#3399FF	ATCSLD5	-1.01	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
AT1G03457	-846.555725097656	-1771.15991210938	#3399FF	AtBRN2	-1.25	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1
AT1G03610	813.555167911323	-1394.96362304688	#FF0033		1	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	1	0	0	0	1	1	1	1	0	1	0	0	0	0	0	0	1	1
AT1G03630	-1211.21118164063	-395.700370548042	#FF0033	POR	-1.11	1	0	0	1	0	0	0	0	1	1	0	0	0	0	1	1	0	1	0	1	0	0	0	1	1	1	1	0	0	0	0	0	1	1	0	0	0
AT1G03780	-1681.27388716209	-1199.22045898438	#3399FF	AtTPX2	1.06	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0
AT1G04020	-2081.27730513084	-1359.22045898438	#3399FF	ATBARD1	1.31	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
AT1G04250	1733.00744628906	-123.06102799904	#3399FF	AXR3	-1.3	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	1	1	0	1	1	0	0	0	1	0	1	0
AT1G04310	457.786499023438	-1857.92980957031	#3399FF	ERS2	1.41	0	1	0	1	1	0	1	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	1	1	0	0	0	0	1	0	1	0	1
AT1G04420	-1983.96199564705	-430.262512207031	#3399FF		1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0
AT1G04610	1651.9765625	-439.738159179688	#3399FF	YUC3	-1.35	0	0	0	1	1	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	1	0	1	0	0	1	1	1	1	0	1	0	1	0
AT1G04770	-1742.94384765625	-817.277160644531	#3399FF		-1.08	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	1	1	1	0	1
AT1G05100	-1213.81494140625	571.337913040999	#FF0033	MAPKKK18	3.05	1	1	0	1	1	0	0	0	0	0	1	0	0	1	0	1	0	1	1	1	1	0	1	1	1	1	1	0	0	1	0	1	1	1	1	0	1
AT1G05190	-1583.96016459237	-150.262771606445	#3399FF	emb2394	1.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
AT1G05440	-1662.94311523438	-777.277160644531	#3399FF		1.23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
AT1G06000	-435.364908649822	-1446.279296875	#FF0033		2.01	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	1	1	0	1	0	0	1	0	0	0	0	1	0	1
