V1	V2	V3
AT1G27730	AT3G60490	AT5G60850
AT5G47370	AT5G53210	AT5G66700
AT1G69490	AT5G39610	AT5G60850
AT2G36270	AT4G36740	AT5G47370
AT1G27730	AT4G31800	AT4G36740
AT4G04890	AT4G31800	AT4G36740
AT2G22430	AT2G36270	AT5G67060
AT1G01720	AT2G22430	AT2G36270
AT2G18550	AT2G22430	AT2G22540
AT2G22430	AT2G22540	AT5G67060
AT1G52880	AT5G60850	AT5G66700
AT1G27730	AT4G31800	AT5G67060
AT2G22430	AT5G60850	AT5G66700
AT2G22430	AT5G25190	AT5G60850
AT2G22430	AT4G31800	AT5G67060
AT2G22430	AT5G25190	AT5G67060
AT2G01570	AT2G22430	AT4G31800
AT1G01720	AT2G22430	AT5G25190
AT1G77450	AT4G31800	AT5G05410
