master_regulator	outputs
ATAF1	HB53:HB6,DOF5_4:HB53,HAT2:HB53,BRC1:DOF5_4,DOF5_4:DREB2A,DOF5_4:MYB3,DOF5_4:NAC6.ORE1,DOF5_4:ERF003,DOF5_4:ERF035,MYB3:ZAT6,HAT2:HB21,HAT2:RGA,ABI5:HAT2,NAC6.ORE1:ZAT6,ERF003:ZAT6,ERF003:HB6,DREB2A:ZAT6,ABI5:ZAT6,ABI5:HB40,BRC1:HB40,HB40:PDF2,HB6:RGA,HB21:HB6,HB21:PDF2
bZIP52	BRC1:HB40,BRC1:TCX2,BRC1:NAC018,HB40:NAC018,NAC018:ZAT6,ABF3:ZAT6,ABF3:GBF2,GBF2:ZAT6
PIF3	ERF003:HEC1,ABF3:HEC1,GBF3:HEC1,ABF3:bZIP52
MYB3	GBF2:ZAT6,NAC6.ORE1:ZAT6,ATAF1:ZAT6,NAC102:ZAT6,ANAC032:ZAT6,GBF2:NAC102,ERF055:WRKY18,DOF5_4:NAC6.ORE1,DOF5_4:NAP,ANAC032:GBF2,NAC6.ORE1:NAP,ANAC032:HAT2,RGA:WRKY18,HAT2:RGA
ZAT10	ABF3:HEC1,ABF3:ZAT6,ABF3:PIF3,ABF3:DOF5_4,ABF3:NAC102,ABF3:ANAC032,ABF3:GBF2,GBF2:ZAT6,ERF003:ZAT6,GBF3:ZAT6,ATAF1:ZAT6,NAC102:ZAT6,ANAC032:ZAT6,ATAF1:ERF003,GBF2:NAC102,GBF3:NAC102,ERF055:WRKY18,DOF5_4:ERF003,DOF5_4:ERF035,DOF5_4:ERF014,ANAC032:GBF2,ERF035:GBF2,GBF2:HEC1,ERF003:HEC1,GBF3:HEC1,HEC1:PIF3,ANAC032:GBF3,PDF2:WRKY18,RGA:WRKY18,GBF3:PIF3,ERF035:GBF3,HB40:PDF2,HB21:PDF2,HB21:TCX2
NAC018	DOF5_4:DREB2A,DOF5_4:NAC6.ORE1,DOF5_4:ERF014,BRC1:DOF5_4,DOF5_4:HB53,DOF5_4:MYB3,MYB3:ZAT6,DREB2A:ZAT6,NAC6.ORE1:ZAT6,BRC1:HB40
NAP	BRC1:HB40,BRC1:DOF5_4,DOF5_4:HB53,DOF5_4:MYB3,DOF5_4:ERF003,DOF5_4:NAC6.ORE1,DOF5_4:ERF014,DOF5_4:DREB2A
ANAC032	ATAF1:ZAT6,ERF003:ZAT6,ZAT10:ZAT6,MYB3:ZAT6,ABF3:ZAT6,NAC102:ZAT6,ABI5:ZAT6,GBF3:ZAT6,GBF2:ZAT6,NAC6.ORE1:ZAT6,DREB2A:ZAT6,HB40:NAP,ABI5:HB40,HB40:ZAT10,DOF5_4:ZAT10,DOF5_4:NAP,DOF5_4:DREB2A,DOF5_4:MYB3,ABF3:DOF5_4,DOF5_4:HB53,DOF5_4:ERF003,DOF5_4:NAC6.ORE1,ERF003:ZAT10,ATAF1:ERF003,ERF003:HB6,HB53:HB6,HAT2:HB53,GBF2:ZAT10,ABI5:GBF2,ABF3:GBF2,GBF2:NAC102,GBF2:MYB3,NAC6.ORE1:NAP,MYB3:NAP,MYB3:NAC102,ATAF1:MYB3,ABF3:DREB2A,HB6:RGA,HAT2:RGA,HAT2:HB21,HB21:HB6,HB21:NAP,GBF3:HAT2,ABI5:HAT2,ABI5:ATAF1,ATAF1:HB6,GBF3:NAC102,ABF3:NAC102,NAC102:ZAT10,GBF3:PIF3,ABF3:PIF3,ABF3:ZAT10,GBF3:ZAT10,ABF3:ABI5,ABI5:GBF3
RGA	HB6:WRKY18
HB21	HAT2:RGA,HB6:RGA,HB6:SVP,ERF003:HB6,HB6:TCX2,NAC6.ORE1:NAP
