AGI	name
AT1G01720	NAC002
AT1G06850	AtbZIP52
AT1G09530	PIF3
AT1G22640	MYB3
AT1G27730	ZAT10
AT1G36060	ERF055
AT1G43700	VIP1
AT1G44830	ERF014
AT1G52880	NAC018
AT1G69490	NAP
AT1G77450	ANAC032
AT2G01570	RGA
AT2G18550	ATHB-21
AT2G22430	ATHB-6
AT2G22540	SVP
AT2G36270	ABI5
AT2G43060	IBH1
AT3G18550	BRC1
AT3G60490	ERF035
AT4G01120	GBF2
AT4G04890	PDF2
AT4G11660	HSFB2B
AT4G14770	TCX2
AT4G31800	WRKY18
AT4G34000	ABF3
AT4G36740	ATHB-40
AT5G04340	ZAT6
AT5G05410	DREB2A
AT5G17800	AtMYB56
AT5G25190	ERF003
AT5G39610	NAC6/ORE1
AT5G47370	HAT2
AT5G53210	SPCH
AT5G60850	DOF5.4
AT5G63790	NAC102
AT5G66700	ATHB-53
AT5G67060	HEC1
