master_regulator	outputs
NAC002	ATHB_6,ATHB_53,DOF5_4,HAT2,BRC1,DREB2A,MYB3,NAC6_ORE1,ERF003,ERF035,ZAT6,ATHB_21,RGA,ABI5,ATHB_40,PDF2
AtbZIP52	ATHB_40,BRC1,TCX2,NAC018,ZAT6,ABF3,GBF2
PIF3	ERF003,HEC1,ABF3,GBF3,AtbZIP52
MYB3	GBF2,ZAT6,NAC6_ORE1,NAC002,NAC102,ANAC032,WRKY18,ERF055,DOF5_4,NAP,HAT2,RGA
ZAT10	HEC1,ABF3,ZAT6,PIF3,DOF5_4,NAC102,ANAC032,GBF2,ERF003,GBF3,NAC002,WRKY18,ERF055,ERF035,ERF014,PDF2,RGA,ATHB_40,ATHB_21,TCX2
NAC018	DREB2A,DOF5_4,NAC6_ORE1,ERF014,BRC1,ATHB_53,MYB3,ZAT6,ATHB_40
NAP	BRC1,ATHB_40,DOF5_4,ATHB_53,MYB3,ERF003,NAC6_ORE1,ERF014,DREB2A
ANAC032	NAC002,ZAT6,ERF003,ZAT10,MYB3,ABF3,NAC102,ABI5,GBF3,GBF2,NAC6_ORE1,DREB2A,NAP,ATHB_40,DOF5_4,ATHB_53,ATHB_6,HAT2,RGA,ATHB_21,PIF3
RGA	ATHB_6,WRKY18
ATHB_21	RGA,HAT2,ATHB_6,SVP,ERF003,TCX2,NAP,NAC6_ORE1
ATHB_6	HAT2,RGA,WRKY18,ATHB_21,ANAC032,ATHB_53,ERF055,TCX2,NAP,SVP,NAC002,ERF003,NAC018,NAC6_ORE1
SVP	ATHB_6,ANAC032,ABI5,GBF3,ABF3,RGA,HEC1,ATHB_40,AtbZIP52,ERF014,TCX2,ATHB_21,NAC102,PIF3,DREB2A
ABI5	DOF5_4,ABF3,GBF2,ZAT6,NAC102,ANAC032,HEC1,HAT2,GBF3,ATHB_6,MYB3,RGA,ATHB_21,ATHB_53,ERF035,NAP,TCX2,PDF2,ATHB_40,NAC002,NAC018
GBF3	NAP,MYB3,ZAT6,NAC002,ANAC032,NAC102,GBF2,DOF5_4,ABF3,DREB2A,HEC1,ABI5,ZAT10,PIF3,ATHB_6,HAT2,RGA,ATHB_53,AtMYB56,ERF035,ERF014,ATHB_40,PDF2,TCX2,NAC6_ORE1
BRC1	GBF3,PIF3,ABF3,NAP,MYB3,NAC002,GBF2,ANAC032,DOF5_4,ABI5,DREB2A,HAT2,ATHB_6,RGA,WRKY18,ATHB_53,ATHB_21,SVP,TCX2,ATHB_40,NAC018
ERF035	ZAT10,GBF2,ANAC032,MYB3,DOF5_4,WRKY18,GBF3
GBF2	ZAT10,ERF035,DOF5_4,HEC1,PIF3,ABF3,MYB3,NAC002,ZAT6,ANAC032,NAC102,ATHB_6,ABI5,DREB2A,ATHB_53,RGA
TCX2	DOF5_4,BRC1,ERF014,PDF2,ATHB_21,ATHB_6,ZAT10,SPCH,ERF003,MYB3
WRKY18	ATHB_21,ATHB_6,ERF003,TCX2,ANAC032,NAC002,RGA,DOF5_4,BRC1,ZAT6,ABI5,GBF3,HAT2,PDF2,ZAT10,NAC102,PIF3,NAC6_ORE1,DREB2A
ABF3	DOF5_4,NAC6_ORE1,ZAT6,ATHB_53,ATHB_6,ERF003,ATHB_21,TCX2,ANAC032,NAC002,ERF014,AtbZIP52,ABI5,GBF2,HEC1,ZAT10,DREB2A,MYB3,NAC102,PIF3
ATHB_40	ZAT10,HEC1,PIF3,SVP,ERF003,ABI5,ABF3,DOF5_4,NAC6_ORE1,NAP,TCX2,ATHB_6,ATHB_21,RGA,ATHB_53,WRKY18,ERF014,HAT2,PDF2,SPCH,NAC018,BRC1,MYB3,ERF035,ERF055,AtMYB56
ZAT6	ATHB_53,NAC018,DOF5_4,ATHB_40,ABI5,GBF2,ZAT10,ANAC032,NAC102,MYB3,ABF3,NAP,NAC6_ORE1,SVP,ATHB_6,RGA,ATHB_21,ERF003,NAC002,ERF014,AtbZIP52,GBF3,HAT2,DREB2A
DREB2A	ABF3,PIF3,ZAT10,DOF5_4,ZAT6
ERF003	NAC018,DOF5_4,ZAT10,HEC1,ABI5,ZAT6,ATHB_6,RGA,AtbZIP52,NAC002
NAC6_ORE1	BRC1,DOF5_4,NAP
HAT2	ERF035,AtMYB56,ATHB_53,NAC018,GBF3,ATHB_21,TCX2,PIF3,ABI5,ANAC032
SPCH	HAT2,ATHB_53,ATHB_6,ABF3,ZAT6,DREB2A,MYB3,ERF003,NAC102,GBF2,NAC002,GBF3,AtbZIP52,ABI5,ANAC032,ZAT10,PIF3
DOF5_4	ATHB_21,ATHB_6,ATHB_53,ERF003,NAC018,BRC1,NAP,ERF035,ZAT10,ABF3,PDF2,PIF3,MYB3,NAC6_ORE1,DREB2A
NAC102	RGA,ATHB_6,GBF2,ZAT6,MYB3,ZAT10,NAC6_ORE1,ABF3,GBF3,DREB2A,HAT2,DOF5_4,ATHB_40,NAP
ATHB_53	DOF5_4,NAC018,ATHB_21,ATHB_6,SVP,TCX2,ERF003,RGA,HAT2,NAC6_ORE1,MYB3
HEC1	DOF5_4,MYB3,NAC102,ZAT6,NAP,NAC002,GBF2,ANAC032,BRC1,NAC018,ATHB_53,ATHB_6,ERF003,TCX2,WRKY18,RGA,SVP,ABF3,DREB2A,ABI5,AtbZIP52,ZAT10,PIF3,HAT2,GBF3,NAC6_ORE1,ERF035
