Tf.aT_id	TarGeT.aT_id
AT1G77450	AT1G04310
AT1G77450	AT1G21680
AT1G77450	AT1G26800
AT1G77450	AT1G28330
AT1G77450	AT1G69490
AT1G77450	AT1G73480
AT1G77450	AT1G75490
AT1G77450	AT2G33830
AT1G77450	AT2G41230
AT1G77450	AT2G44080
AT1G77450	AT3G03870
AT1G77450	AT3G23150
AT1G77450	AT3G26510
AT1G77450	AT3G59900
AT1G77450	AT4G05070
AT1G77450	AT4G11360
AT1G77450	AT5G02020
AT1G77450	AT5G07000
AT1G77450	AT5G19120
AT1G77450	AT5G27320
AT1G77450	AT5G39610
AT1G77450	AT5G44260
AT1G77450	AT5G57660
AT1G77450	AT1G06570
AT1G77450	AT1G08630
AT1G77450	AT1G09530
AT1G77450	AT1G14890
AT1G77450	AT1G21780
AT1G77450	AT1G23870
AT1G77450	AT1G27290
AT1G77450	AT1G33055
AT1G77450	AT1G56220
AT1G77450	AT1G71030
AT1G77450	AT1G72060
AT1G77450	AT1G73500
AT1G77450	AT1G76410
AT1G77450	AT1G79700
AT1G77450	AT2G02710
AT1G77450	AT2G17880
AT1G77450	AT2G19810
AT1G77450	AT2G27830
AT1G77450	AT2G36080
AT1G77450	AT2G36220
AT1G77450	AT2G38820
AT1G77450	AT2G40970
AT1G77450	AT2G45210
AT1G77450	AT3G04350
AT1G77450	AT3G07560
AT1G77450	AT3G14595
AT1G77450	AT3G15450
AT1G77450	AT3G47340
AT1G77450	AT3G49790
AT1G77450	AT3G62650
AT1G77450	AT4G00335
AT1G77450	AT4G01120
AT1G77450	AT4G17245
AT1G77450	AT4G21510
AT1G77450	AT4G27450
AT1G77450	AT4G27460
AT1G77450	AT4G28040
AT1G77450	AT4G28300
AT1G77450	AT4G29190
AT1G77450	AT4G30390
AT1G77450	AT4G35770
AT1G77450	AT5G04760
AT1G77450	AT5G11090
AT1G77450	AT5G14780
AT1G77450	AT5G18130
AT1G77450	AT5G18490
AT1G77450	AT5G19860
AT1G77450	AT5G21170
AT1G77450	AT5G54080
AT1G77450	AT5G57240
AT1G77450	AT5G57340
AT1G77450	AT5G57900
AT1G77450	AT5G57910
AT1G77450	AT5G58650
AT1G77450	AT5G64260
AT1G77450	AT1G64660
AT1G77450	AT2G01570
AT1G77450	AT2G22430
AT1G77450	AT2G39010
AT1G77450	AT2G43060
AT1G77450	AT2G45960
AT1G77450	AT3G11690
AT1G77450	AT3G11930
AT1G77450	AT3G17100
AT1G77450	AT4G14930
AT1G77450	AT4G30270
AT1G77450	AT5G02230
AT1G77450	AT5G10770
AT1G77450	AT5G23870
AT1G77450	AT5G47560
AT1G77450	AT5G48150
AT1G77450	AT5G60850
AT1G77450	AT1G06040
AT1G77450	AT1G08510
AT1G77450	AT1G22640
AT1G77450	AT1G23390
AT1G77450	AT1G34000
AT1G77450	AT1G53560
AT1G77450	AT1G70940
AT1G77450	AT1G71970
AT1G77450	AT1G76490
AT1G77450	AT1G80180
AT1G77450	AT2G13360
AT1G77450	AT2G15580
AT1G77450	AT2G21185
AT1G77450	AT3G11660
AT1G77450	AT3G13720
AT1G77450	AT3G14067
AT1G77450	AT3G21260
AT1G77450	AT3G26520
AT1G77450	AT3G45600
AT1G77450	AT3G49220
AT1G77450	AT3G52060
AT1G77450	AT3G61260
AT1G77450	AT3G61460
AT1G77450	AT4G01330
AT1G77450	AT4G05150
AT1G77450	AT4G17170
AT1G77450	AT4G23400
AT1G77450	AT5G01520
AT1G77450	AT5G05690
AT1G77450	AT5G06280
AT1G77450	AT5G15410
AT1G77450	AT5G20700
AT1G77450	AT5G49360
AT1G77450	AT5G63800
AT1G77450	AT5G65380
AT1G77450	AT1G09250
AT1G77450	AT1G22910
AT1G77450	AT1G29490
AT1G77450	AT1G53180
AT1G77450	AT1G62770
AT1G77450	AT1G73830
AT1G77450	AT2G14890
AT1G77450	AT2G40610
AT1G77450	AT4G12730
AT1G77450	AT4G27260
AT1G77450	AT4G28720
AT1G77450	AT4G30290
AT1G77450	AT4G34770
AT1G77450	AT5G25190
AT1G77450	AT5G47370
AT1G77450	AT5G53980
AT1G77450	AT5G66690
AT1G77450	AT1G22330
AT1G77450	AT1G23030
AT1G77450	AT1G27670
AT1G77450	AT1G35430
AT1G77450	AT1G53700
AT1G77450	AT1G76240
AT1G77450	AT2G06850
AT1G77450	AT2G27050
AT1G77450	AT2G38120
AT1G77450	AT2G45400
AT1G77450	AT3G02170
AT1G77450	AT3G05490
AT1G77450	AT3G08670
AT1G77450	AT3G44610
AT1G77450	AT3G58120
AT1G77450	AT3G60550
AT1G77450	AT4G20870
AT1G77450	AT4G23820
AT1G77450	AT4G37890
AT1G77450	AT5G22940
AT1G77450	AT5G23210
AT1G77450	AT5G51670
AT1G77450	AT5G54510
AT1G77450	AT5G66080
AT1G77450	AT1G79270
AT1G77450	AT1G79520
AT1G77450	AT2G29090
AT1G77450	AT2G36630
AT1G77450	AT3G50560
AT1G77450	AT4G15550
AT1G77450	AT4G34000
AT1G77450	AT5G43450
AT1G77450	AT1G06430
AT1G77450	AT1G16730
AT1G77450	AT1G21410
AT1G77450	AT1G48100
AT1G77450	AT1G52550
AT1G77450	AT1G59700
AT1G77450	AT1G64900
AT1G77450	AT2G24540
AT1G77450	AT2G31750
AT1G77450	AT2G37970
AT1G77450	AT2G41250
AT1G77450	AT2G41870
AT1G77450	AT3G01210
AT1G77450	AT3G16910
AT1G77450	AT3G22840
AT1G77450	AT3G24190
AT1G77450	AT3G27170
AT1G77450	AT3G56290
AT1G77450	AT4G13010
AT1G77450	AT4G14690
AT1G77450	AT4G16690
AT1G77450	AT4G17840
AT1G77450	AT4G27030
AT1G77450	AT4G27657
AT1G77450	AT4G32770
AT1G77450	AT4G33660
AT1G77450	AT5G06980
AT1G77450	AT5G11650
AT1G77450	AT5G23730
AT1G77450	AT5G43260
AT1G77450	AT5G47610
AT1G77450	AT5G52570
AT1G77450	AT5G53970
AT1G77450	AT5G58770
AT1G77450	AT5G59400
AT1G77450	AT1G49660
AT1G77450	AT1G61667
AT1G77450	AT1G69850
AT1G77450	AT1G75440
AT1G77450	AT2G19580
AT1G77450	AT2G37750
AT1G77450	AT2G38530
AT1G77450	AT3G02910
AT1G77450	AT3G03270
AT1G77450	AT3G10985
AT1G77450	AT4G15800
AT1G77450	AT5G59845
AT1G77450	AT1G07090
AT1G77450	AT1G14730
AT1G77450	AT1G23040
AT1G77450	AT1G30130
AT1G77450	AT1G71960
AT1G77450	AT2G19570
AT1G77450	AT2G19760
AT1G77450	AT2G22850
AT1G77450	AT2G24040
AT1G77450	AT2G26170
AT1G77450	AT2G41410
AT1G77450	AT2G46600
AT1G77450	AT3G12500
AT1G77450	AT3G14280
AT1G77450	AT3G20510
AT1G77450	AT3G21550
AT1G77450	AT3G21710
AT1G77450	AT3G49780
AT1G77450	AT4G14010
AT1G77450	AT4G24370
AT1G77450	AT5G03460
AT1G77450	AT5G09440
AT1G77450	AT5G18690
AT1G77450	AT5G37540
AT1G77450	AT5G67600
AT1G77450	AT1G02470
AT1G77450	AT1G09140
AT1G77450	AT1G11210
AT1G77450	AT1G13990
AT1G77450	AT1G16850
AT1G77450	AT1G22190
AT1G77450	AT1G36060
AT1G77450	AT1G68620
AT1G77450	AT2G16720
AT1G77450	AT2G18550
AT1G77450	AT2G28400
AT1G77450	AT2G35950
AT1G77450	AT2G36270
AT1G77450	AT2G41010
AT1G77450	AT2G46270
AT1G77450	AT2G46610
AT1G77450	AT2G47770
AT1G77450	AT3G04010
AT1G77450	AT3G08970
AT1G77450	AT3G14200
AT1G77450	AT3G17520
AT1G77450	AT3G57010
AT1G77450	AT4G04620
AT1G77450	AT4G10040
AT1G77450	AT4G17550
AT1G77450	AT4G27280
AT1G77450	AT4G36740
AT1G77450	AT5G13500
AT1G77450	AT5G47420
AT1G77450	AT5G50360
AT1G77450	AT5G51440
AT1G77450	AT5G54490
AT1G77450	AT5G66700
AT1G77450	AT1G01720
AT1G77450	AT1G05100
AT1G77450	AT1G07430
AT1G77450	AT1G09070
AT1G77450	AT1G14200
AT1G77450	AT1G15430
AT1G77450	AT1G27730
AT1G77450	AT1G48000
AT1G77450	AT1G55530
AT1G77450	AT1G56600
AT1G77450	AT1G60190
AT1G77450	AT1G61890
AT1G77450	AT1G69480
AT1G77450	AT1G72800
AT1G77450	AT1G80110
AT1G77450	AT2G21180
AT1G77450	AT2G30140
AT1G77450	AT2G33590
AT1G77450	AT2G45570
AT1G77450	AT3G04000
AT1G77450	AT3G06760
AT1G77450	AT3G09350
AT1G77450	AT3G48020
AT1G77450	AT3G61630
AT1G77450	AT3G61980
AT1G77450	AT4G01870
AT1G77450	AT4G02280
AT1G77450	AT4G05020
AT1G77450	AT4G11660
AT1G77450	AT4G37370
AT1G77450	AT5G04340
AT1G77450	AT5G05220
AT1G77450	AT5G05410
AT1G77450	AT5G06760
AT1G77450	AT5G13330
AT1G77450	AT5G17650
AT1G77450	AT5G17850
AT1G77450	AT5G22290
AT1G77450	AT5G61820
