tf.at_id	target.at_id
AT5G66700	AT1G21680
AT5G66700	AT1G23050
AT5G66700	AT2G33830
AT5G66700	AT2G39980
AT5G66700	AT2G44080
AT5G66700	AT3G23150
AT5G66700	AT4G05070
AT5G66700	AT4G14270
AT5G66700	AT5G07010
AT5G66700	AT5G27320
AT5G66700	AT5G39610
AT5G66700	AT5G49700
AT5G66700	AT5G57660
AT5G66700	AT1G03610
AT5G66700	AT1G08630
AT5G66700	AT1G09530
AT5G66700	AT1G14890
AT5G66700	AT1G15670
AT5G66700	AT1G22985
AT5G66700	AT1G25560
AT5G66700	AT1G28960
AT5G66700	AT1G33055
AT5G66700	AT1G56220
AT5G66700	AT1G73500
AT5G66700	AT1G79700
AT5G66700	AT2G04550
AT5G66700	AT2G17880
AT5G66700	AT2G18700
AT5G66700	AT2G19810
AT5G66700	AT2G22680
AT5G66700	AT2G25900
AT5G66700	AT2G27830
AT5G66700	AT2G36080
AT5G66700	AT2G36900
AT5G66700	AT2G40970
AT5G66700	AT2G45210
AT5G66700	AT3G04350
AT5G66700	AT4G00335
AT5G66700	AT4G21510
AT5G66700	AT4G27450
AT5G66700	AT4G28040
AT5G66700	AT4G29190
AT5G66700	AT5G11090
AT5G66700	AT5G14780
AT5G66700	AT5G16110
AT5G66700	AT5G18130
AT5G66700	AT5G18490
AT5G66700	AT5G57340
AT5G66700	AT1G12240
AT5G66700	AT2G01570
AT5G66700	AT2G10940
AT5G66700	AT2G22430
AT5G66700	AT2G22540
AT5G66700	AT2G31110
AT5G66700	AT2G39010
AT5G66700	AT2G43060
AT5G66700	AT2G43710
AT5G66700	AT3G11690
AT5G66700	AT4G10310
AT5G66700	AT4G14930
AT5G66700	AT4G17030
AT5G66700	AT4G30270
AT5G66700	AT5G02230
AT5G66700	AT5G10770
AT5G66700	AT5G23870
AT5G66700	AT5G47560
AT5G66700	AT5G48150
AT5G66700	AT5G60850
AT5G66700	AT1G01620
AT5G66700	AT1G22640
AT5G66700	AT1G23390
AT5G66700	AT1G52880
AT5G66700	AT1G70940
AT5G66700	AT1G71970
AT5G66700	AT1G76490
AT5G66700	AT2G15580
AT5G66700	AT2G21185
AT5G66700	AT3G14067
AT5G66700	AT3G16850
AT5G66700	AT3G21260
AT5G66700	AT3G45600
AT5G66700	AT4G05150
AT5G66700	AT4G38690
AT5G66700	AT5G05690
AT5G66700	AT5G06280
AT5G66700	AT5G15410
AT5G66700	AT5G20700
AT5G66700	AT5G49360
AT5G66700	AT5G63800
AT5G66700	AT1G04610
AT5G66700	AT1G36940
AT5G66700	AT1G64640
AT5G66700	AT1G75590
AT5G66700	AT2G14890
AT5G66700	AT2G37640
AT5G66700	AT3G08030
AT5G66700	AT4G27260
AT5G66700	AT4G28720
AT5G66700	AT4G38860
AT5G66700	AT5G12940
AT5G66700	AT5G25190
AT5G66700	AT5G47370
AT5G66700	AT5G50335
AT5G66700	AT5G66590
AT5G66700	AT1G04250
AT5G66700	AT1G22330
AT5G66700	AT1G23030
AT5G66700	AT1G27670
AT5G66700	AT1G35430
AT5G66700	AT1G53700
AT5G66700	AT1G75780
AT5G66700	AT2G06850
AT5G66700	AT2G38120
AT5G66700	AT2G42380
AT5G66700	AT2G45400
AT5G66700	AT3G02170
AT5G66700	AT3G06770
