Tf.AT_id	TArGeT.AT_id
AT2G22430	AT1G21680
AT2G22430	AT1G69490
AT2G22430	AT2G33830
AT2G22430	AT2G44080
AT2G22430	AT3G03870
AT2G22430	AT3G23150
AT2G22430	AT5G07000
AT2G22430	AT5G07010
AT2G22430	AT5G39610
AT2G22430	AT5G57660
AT2G22430	AT1G03610
AT2G22430	AT1G09530
AT2G22430	AT1G14890
AT2G22430	AT1G15670
AT2G22430	AT1G25560
AT2G22430	AT1G56220
AT2G22430	AT1G73500
AT2G22430	AT1G79700
AT2G22430	AT2G19810
AT2G22430	AT2G22680
AT2G22430	AT2G25900
AT2G22430	AT2G27830
AT2G22430	AT2G36220
AT2G22430	AT2G38400
AT2G22430	AT2G40970
AT2G22430	AT2G44130
AT2G22430	AT2G45210
AT2G22430	AT3G59940
AT2G22430	AT3G62650
AT2G22430	AT4G00335
AT2G22430	AT4G08330
AT2G22430	AT4G21510
AT2G22430	AT4G27460
AT2G22430	AT4G28040
AT2G22430	AT4G28300
AT2G22430	AT4G29190
AT2G22430	AT4G30390
AT2G22430	AT4G35770
AT2G22430	AT5G04760
AT2G22430	AT5G11090
AT2G22430	AT5G18130
AT2G22430	AT5G18490
AT2G22430	AT5G57340
AT2G22430	AT5G64260
AT2G22430	AT1G12240
AT2G22430	AT2G01570
AT2G22430	AT2G10940
AT2G22430	AT2G22540
AT2G22430	AT2G43060
AT2G22430	AT2G43710
AT2G22430	AT2G45960
AT2G22430	AT3G11930
AT2G22430	AT3G53420
AT2G22430	AT4G10310
AT2G22430	AT4G14930
AT2G22430	AT4G17030
AT2G22430	AT4G30270
AT2G22430	AT5G10770
AT2G22430	AT5G23870
AT2G22430	AT5G47560
AT2G22430	AT1G01620
AT2G22430	AT1G08510
AT2G22430	AT1G23390
AT2G22430	AT1G52880
AT2G22430	AT1G70940
AT2G22430	AT1G76490
AT2G22430	AT3G13062
AT2G22430	AT3G21260
AT2G22430	AT3G26520
AT2G22430	AT3G49220
AT2G22430	AT3G52060
AT2G22430	AT3G61460
AT2G22430	AT4G01330
AT2G22430	AT4G38690
AT2G22430	AT5G15410
AT2G22430	AT5G20700
AT2G22430	AT5G63800
AT2G22430	AT1G04610
AT2G22430	AT1G06980
AT2G22430	AT1G22910
AT2G22430	AT1G53180
AT2G22430	AT1G62770
AT2G22430	AT1G64640
AT2G22430	AT1G75590
AT2G22430	AT2G14890
AT2G22430	AT2G37640
AT2G22430	AT2G47930
AT2G22430	AT3G08030
AT2G22430	AT4G27260
AT2G22430	AT4G28720
AT2G22430	AT5G12940
AT2G22430	AT5G25190
AT2G22430	AT5G47370
AT2G22430	AT5G49170
AT2G22430	AT5G50335
AT2G22430	AT5G60840
AT2G22430	AT5G66590
AT2G22430	AT5G66690
AT2G22430	AT1G22330
AT2G22430	AT1G75780
AT2G22430	AT1G76240
AT2G22430	AT2G06850
AT2G22430	AT2G27050
AT2G22430	AT2G38120
AT2G22430	AT2G39180
AT2G22430	AT3G02170
AT2G22430	AT3G05490
AT2G22430	AT3G06770
AT2G22430	AT3G19380
AT2G22430	AT3G44610
AT2G22430	AT3G50340
