tf.at_id	target.at_id
AT5G17800	AT3G18550
AT5G17800	AT2G18050
AT5G17800	AT2G33830
AT5G17800	AT2G39980
AT5G17800	AT3G59900
AT5G17800	AT5G07010
AT5G17800	AT5G19120
AT5G17800	AT5G57660
AT5G17800	AT1G03610
AT5G17800	AT1G22985
AT5G17800	AT1G68840
AT5G17800	AT1G71030
AT5G17800	AT2G18700
AT5G17800	AT2G19810
AT5G17800	AT2G22680
AT5G17800	AT2G36900
AT5G17800	AT3G62650
AT5G17800	AT5G64260
AT5G17800	AT1G12240
AT5G17800	AT2G01570
AT5G17800	AT2G39010
AT5G17800	AT5G23870
AT5G17800	AT5G48150
AT5G17800	AT1G22640
AT5G17800	AT1G53560
AT5G17800	AT1G70940
AT5G17800	AT2G21185
AT5G17800	AT3G11660
AT5G17800	AT4G23400
AT5G17800	AT5G49360
AT5G17800	AT1G04610
AT5G17800	AT1G06980
AT5G17800	AT1G36940
AT5G17800	AT1G53180
AT5G17800	AT1G73830
AT5G17800	AT2G37640
AT5G17800	AT2G42900
AT5G17800	AT5G14690
AT5G17800	AT5G25190
AT5G17800	AT5G50335
AT5G17800	AT1G04250
AT5G17800	AT1G06080
AT5G17800	AT1G53700
AT5G17800	AT1G76240
AT5G17800	AT2G38120
AT5G17800	AT2G45400
AT5G17800	AT3G44610
AT5G17800	AT3G58120
AT5G17800	AT4G23820
AT5G17800	AT4G23870
AT5G17800	AT4G30410
AT5G17800	AT4G32890
AT5G17800	AT4G37890
AT5G17800	AT5G02550
AT5G17800	AT5G11890
AT5G17800	AT5G22940
AT5G17800	AT1G79520
AT5G17800	AT4G34000
AT5G17800	AT1G48100
AT5G17800	AT1G64780
AT5G17800	AT2G41870
AT5G17800	AT4G33660
AT5G17800	AT5G11650
AT5G17800	AT5G23730
AT5G17800	AT5G53970
AT5G17800	AT5G54300
AT5G17800	AT1G69850
AT5G17800	AT2G37750
AT5G17800	AT1G07090
AT5G17800	AT1G22885
AT5G17800	AT1G30130
AT5G17800	AT1G52140
AT5G17800	AT1G71960
AT5G17800	AT2G22850
AT5G17800	AT2G32300
AT5G17800	AT2G34140
AT5G17800	AT2G46600
AT5G17800	AT3G60490
AT5G17800	AT4G24370
AT5G17800	AT4G38080
AT5G17800	AT5G18970
AT5G17800	AT1G02470
AT5G17800	AT1G36060
AT5G17800	AT2G18550
AT5G17800	AT2G35950
AT5G17800	AT5G13500
AT5G17800	AT5G50360
AT5G17800	AT1G56600
AT5G17800	AT3G61980
AT5G17800	AT5G01820
AT5G17800	AT1G26570
AT5G17800	AT2G37660
AT5G17800	AT2G26550
AT5G17800	AT4G02790
AT5G17800	AT2G26910
AT5G17800	AT3G29185
AT5G17800	AT2G36990
AT5G17800	AT3G52150
AT5G17800	AT4G04350
AT5G17800	AT3G17170
AT5G17800	AT4G11175
AT5G17800	AT4G17740
AT5G17800	AT1G04770
AT5G17800	AT3G45980
AT5G17800	AT3G55660
AT5G17800	AT5G03870
AT5G17800	AT1G53140
AT5G17800	AT2G22610
AT5G17800	AT1G03780
AT5G17800	AT4G02800
AT5G17800	AT3G51720
AT5G17800	AT4G14200
AT5G17800	AT5G27330
AT5G17800	AT1G19850
AT5G17800	AT3G52170
AT5G17800	AT1G55200
AT5G17800	AT5G48360
AT5G17800	AT1G52400
AT5G17800	AT2G01830
AT5G17800	AT2G37260
AT5G17800	AT4G13410
AT5G17800	AT5G15470
AT5G17800	AT5G55180
AT5G17800	AT3G52870
AT5G17800	AT5G61810
AT5G17800	AT2G44230
AT5G17800	AT3G27400
AT5G17800	AT2G37040
AT5G17800	AT5G08640
AT5G17800	AT5G38020
AT5G17800	AT3G54990
AT5G17800	AT1G16530
AT5G17800	AT1G59970
AT5G17800	AT1G33260
