tf.at_id	target.at_id
AT1G06850	AT3G18550
AT1G06850	AT1G04310
AT1G06850	AT2G33830
AT1G06850	AT5G19120
AT1G06850	AT1G15670
AT1G06850	AT1G25560
AT1G06850	AT1G79700
AT1G06850	AT2G18700
AT1G06850	AT2G19810
AT1G06850	AT2G44130
AT1G06850	AT3G59940
AT1G06850	AT4G01120
AT1G06850	AT4G35770
AT1G06850	AT5G54080
AT1G06850	AT5G57340
AT1G06850	AT5G64260
AT1G06850	AT2G39010
AT1G06850	AT2G42620
AT1G06850	AT3G17100
AT1G06850	AT4G30270
AT1G06850	AT5G23870
AT1G06850	AT1G52880
AT1G06850	AT1G76490
AT1G06850	AT3G16850
AT1G06850	AT3G49220
AT1G06850	AT3G55960
AT1G06850	AT4G17170
AT1G06850	AT4G38690
AT1G06850	AT5G01520
AT1G06850	AT5G15410
AT1G06850	AT5G65380
AT1G06850	AT1G06980
AT1G06850	AT1G22910
AT1G06850	AT1G44830
AT1G06850	AT1G64640
AT1G06850	AT1G75590
AT1G06850	AT2G41760
AT1G06850	AT4G27260
AT1G06850	AT4G34770
AT1G06850	AT5G02760
AT1G06850	AT5G49170
AT1G06850	AT5G50335
AT1G06850	AT2G06850
AT1G06850	AT2G42380
AT1G06850	AT3G02170
AT1G06850	AT3G05490
AT1G06850	AT3G06770
AT1G06850	AT3G44610
AT1G06850	AT3G50340
AT1G06850	AT3G53250
AT1G06850	AT3G58120
AT1G06850	AT3G60550
AT1G06850	AT4G23820
AT1G06850	AT5G22940
AT1G06850	AT5G51670
AT1G06850	AT5G54510
AT1G06850	AT5G64330
AT1G06850	AT1G70985
AT1G06850	AT4G34000
AT1G06850	AT1G64780
AT1G06850	AT2G31750
AT1G06850	AT3G27170
AT1G06850	AT4G33660
AT1G06850	AT5G03555
AT1G06850	AT5G06980
AT1G06850	AT5G53970
AT1G06850	AT1G10140
AT1G06850	AT2G35150
AT1G06850	AT2G38530
AT1G06850	AT4G14130
AT1G06850	AT1G07090
AT1G06850	AT1G14730
AT1G06850	AT1G30130
AT1G06850	AT1G71960
AT1G06850	AT3G49780
AT1G06850	AT4G38080
AT1G06850	AT5G09440
AT1G06850	AT5G18970
AT1G06850	AT5G37540
AT1G06850	AT5G56540
AT1G06850	AT1G13990
AT1G06850	AT1G22190
AT1G06850	AT3G08970
AT1G06850	AT3G54510
AT1G06850	AT4G27280
AT1G06850	AT4G36740
AT1G06850	AT5G13500
AT1G06850	AT5G51210
AT1G06850	AT1G05100
AT1G06850	AT1G09070
AT1G06850	AT1G61890
AT1G06850	AT1G80110
AT1G06850	AT3G46230
AT1G06850	AT3G48580
AT1G06850	AT3G53230
AT1G06850	AT5G04340
AT1G06850	AT5G64230
AT1G06850	AT1G70070
AT1G06850	AT2G30695
AT1G06850	AT3G59040
AT1G06850	AT1G48520
AT1G06850	AT5G46580
AT1G06850	AT3G18110
AT1G06850	AT2G26910
AT1G06850	AT4G02530
AT1G06850	AT2G41950
AT1G06850	AT3G09050
AT1G06850	AT4G30620
AT1G06850	AT5G02710
AT1G06850	AT4G24750
AT1G06850	AT4G19100
AT1G06850	AT4G39040
AT1G06850	AT5G22340
AT1G06850	AT2G31890
AT1G06850	AT1G31800
AT1G06850	AT3G16000
AT1G06850	AT5G16715
AT1G06850	AT3G13120
AT1G06850	AT3G15190
AT1G06850	AT1G35680
AT1G06850	AT3G17170
AT1G06850	AT2G39670
AT1G06850	AT4G11175
AT1G06850	AT4G17740
AT1G06850	AT5G55740
AT1G06850	AT4G16390
AT1G06850	AT3G23580
AT1G06850	AT3G23670
AT1G06850	AT3G57060
AT1G06850	AT3G24495
AT1G06850	AT4G21820
AT1G06850	AT5G56580
AT1G06850	AT1G59540
AT1G06850	AT4G26660
AT1G06850	AT1G18370
AT1G06850	AT5G51600
AT1G06850	AT3G17360
AT1G06850	AT3G19590
AT1G06850	AT1G15660
AT1G06850	AT3G50070
AT1G06850	AT1G76310
AT1G06850	AT4G02800
AT1G06850	AT2G07170
AT1G06850	AT5G38690
AT1G06850	AT4G30130
AT1G06850	AT4G14200
AT1G06850	AT5G27330
AT1G06850	AT4G14770
AT1G06850	AT5G63950
AT1G06850	AT1G48610
AT1G06850	AT5G51560
AT1G06850	AT4G36180
AT1G06850	AT1G03457
AT1G06850	AT1G11580
AT1G06850	AT1G19940
AT1G06850	AT2G28250
AT1G06850	AT5G55180
AT1G06850	AT1G31710
AT1G06850	AT5G07460
AT1G06850	AT5G37770
AT1G06850	AT2G38760
AT1G06850	AT5G65020
AT1G06850	AT5G48850
AT1G06850	AT2G04032
AT1G06850	AT5G61810
AT1G06850	AT5G19110
AT1G06850	AT2G39420
AT1G06850	AT2G44230
AT1G06850	AT3G06020
AT1G06850	AT5G09870
AT1G06850	AT1G20490
AT1G06850	AT1G06550
AT1G06850	AT3G54990
AT1G06850	AT3G48350
