tf.at_id	target.at_id
AT5G05410	AT1G04310
AT5G05410	AT1G26800
AT5G05410	AT2G33830
AT5G05410	AT3G03870
AT5G05410	AT3G23150
AT5G05410	AT5G02020
AT5G05410	AT5G25350
AT5G05410	AT5G49700
AT5G05410	AT5G57660
AT5G05410	AT1G06570
AT5G05410	AT1G09530
AT5G05410	AT1G14890
AT5G05410	AT1G22985
AT5G05410	AT1G23870
AT5G05410	AT1G28960
AT5G05410	AT1G73500
AT5G05410	AT2G18700
AT5G05410	AT2G36900
AT5G05410	AT3G14595
AT5G05410	AT3G49790
AT5G05410	AT3G62770
AT5G05410	AT4G00335
AT5G05410	AT4G28040
AT5G05410	AT4G29190
AT5G05410	AT4G30390
AT5G05410	AT5G04760
AT5G05410	AT5G18130
AT5G05410	AT5G57900
AT5G05410	AT2G01570
AT5G05410	AT4G17340
AT5G05410	AT4G30270
AT5G05410	AT5G02230
AT5G05410	AT5G60850
AT5G05410	AT1G08510
AT5G05410	AT2G21185
AT5G05410	AT3G13720
AT5G05410	AT5G01520
AT5G05410	AT1G53180
AT5G05410	AT4G30290
AT5G05410	AT5G53980
AT5G05410	AT1G23030
AT5G05410	AT3G50340
AT5G05410	AT3G60550
AT5G05410	AT4G34000
AT5G05410	AT5G43450
AT5G05410	AT1G16730
AT5G05410	AT1G21410
AT5G05410	AT1G64780
AT5G05410	AT2G24540
AT5G05410	AT2G27420
AT5G05410	AT2G41870
AT5G05410	AT3G27170
AT5G05410	AT4G27030
AT5G05410	AT4G33660
AT5G05410	AT5G06980
AT5G05410	AT5G53970
AT5G05410	AT5G58770
AT5G05410	AT2G37750
AT5G05410	AT2G38530
AT5G05410	AT1G23040
AT5G05410	AT1G71960
AT5G05410	AT2G40900
AT5G05410	AT3G12500
AT5G05410	AT5G09440
AT5G05410	AT5G37540
AT5G05410	AT1G13990
AT5G05410	AT1G16850
AT5G05410	AT2G35950
AT5G05410	AT2G47770
AT5G05410	AT3G04010
AT5G05410	AT3G17520
AT5G05410	AT3G23170
AT5G05410	AT3G57010
AT5G05410	AT4G10040
AT5G05410	AT4G17550
AT5G05410	AT5G03210
AT5G05410	AT5G54490
AT5G05410	AT1G07430
AT5G05410	AT1G09070
AT5G05410	AT1G27730
AT5G05410	AT1G48000
AT5G05410	AT1G56600
AT5G05410	AT1G60190
AT5G05410	AT1G61890
AT5G05410	AT1G80110
AT5G05410	AT2G21180
AT5G05410	AT3G02480
AT5G05410	AT3G19580
AT5G05410	AT3G61630
AT5G05410	AT5G01820
AT5G05410	AT5G04340
AT5G05410	AT5G05220
AT5G05410	AT5G06760
AT5G05410	AT5G13330
AT5G05410	AT5G61820
AT5G05410	AT5G64230
AT5G05410	AT1G71720
AT5G05410	AT3G25660
AT5G05410	AT1G32550
AT5G05410	AT5G50250
AT5G05410	AT4G39040
AT5G05410	AT4G33470
AT5G05410	AT4G17560
AT5G05410	AT4G29060
AT5G05410	AT3G06030
AT5G05410	AT3G13190
AT5G05410	AT1G80370
AT5G05410	AT5G23940
AT5G05410	AT5G24330
AT5G05410	AT2G37470
AT5G05410	AT5G51560
AT5G05410	AT1G11840
AT5G05410	AT4G21760
AT5G05410	AT1G31710
AT5G05410	AT5G61810
AT5G05410	AT3G06035
AT5G05410	AT1G78570
AT5G05410	AT5G54160
AT5G05410	AT3G07320
