tf.at_id	target.at_id
AT5G25190	AT1G21680
AT5G25190	AT1G73480
AT5G25190	AT2G33830
AT5G25190	AT2G39980
AT5G25190	AT3G26510
AT5G25190	AT3G59900
AT5G25190	AT4G05070
AT5G25190	AT4G14270
AT5G25190	AT5G19120
AT5G25190	AT5G44260
AT5G25190	AT5G49700
AT5G25190	AT5G57660
AT5G25190	AT1G06570
AT5G25190	AT1G14890
AT5G25190	AT1G22985
AT5G25190	AT1G25560
AT5G25190	AT1G68840
AT5G25190	AT1G71030
AT5G25190	AT1G73500
AT5G25190	AT1G76410
AT5G25190	AT2G18700
AT5G25190	AT2G22680
AT5G25190	AT2G25900
AT5G25190	AT2G27830
AT5G25190	AT2G36080
AT5G25190	AT2G36220
AT5G25190	AT2G40970
AT5G25190	AT2G44130
AT5G25190	AT3G01400
AT5G25190	AT3G04350
AT5G25190	AT3G16770
AT5G25190	AT3G59940
AT5G25190	AT4G02440
AT5G25190	AT4G28040
AT5G25190	AT4G30390
AT5G25190	AT5G04760
AT5G25190	AT5G11090
AT5G25190	AT5G19860
AT5G25190	AT5G21170
AT5G25190	AT5G43190
AT5G25190	AT5G64260
AT5G25190	AT1G12240
AT5G25190	AT1G64660
AT5G25190	AT2G01570
AT5G25190	AT2G22430
AT5G25190	AT2G42620
AT5G25190	AT2G43060
AT5G25190	AT3G11690
AT5G25190	AT3G11930
AT5G25190	AT3G17100
AT5G25190	AT3G53420
AT5G25190	AT4G17340
AT5G25190	AT5G10770
AT5G25190	AT5G23870
AT5G25190	AT5G47560
AT5G25190	AT5G60850
AT5G25190	AT1G06040
AT5G25190	AT1G23390
AT5G25190	AT1G52880
AT5G25190	AT1G71970
AT5G25190	AT1G76490
AT5G25190	AT1G80180
AT5G25190	AT2G15580
AT5G25190	AT3G14067
AT5G25190	AT3G26520
AT5G25190	AT3G45600
AT5G25190	AT3G49220
AT5G25190	AT3G52060
AT5G25190	AT4G05150
AT5G25190	AT4G23400
AT5G25190	AT5G03230
AT5G25190	AT5G05690
AT5G25190	AT5G06280
AT5G25190	AT5G63800
AT5G25190	AT1G04610
AT5G25190	AT1G06980
AT5G25190	AT1G09250
AT5G25190	AT1G36940
AT5G25190	AT2G37640
AT5G25190	AT4G12730
AT5G25190	AT5G14690
AT5G25190	AT5G60840
AT5G25190	AT1G04250
AT5G25190	AT1G06080
AT5G25190	AT1G06850
AT5G25190	AT1G27670
AT5G25190	AT1G35430
AT5G25190	AT1G53700
AT5G25190	AT2G38120
AT5G25190	AT2G42380
