Tf.AT_id	TArGeT.AT_id
AT3G60490	AT1G73480
AT3G60490	AT2G39980
AT3G60490	AT3G03870
AT3G60490	AT3G26510
AT3G60490	AT4G05070
AT3G60490	AT5G07010
AT3G60490	AT5G27320
AT3G60490	AT1G06570
AT3G60490	AT1G08630
AT3G60490	AT1G15670
AT3G60490	AT1G25560
AT3G60490	AT1G71030
AT3G60490	AT1G73500
AT3G60490	AT1G76410
AT3G60490	AT2G02710
AT3G60490	AT2G04550
AT3G60490	AT2G17880
AT3G60490	AT2G22680
AT3G60490	AT2G27830
AT3G60490	AT2G44130
AT3G60490	AT3G01170
AT3G60490	AT3G01400
AT3G60490	AT3G59940
AT3G60490	AT3G62770
AT3G60490	AT4G01120
AT3G60490	AT4G08330
AT3G60490	AT5G14780
AT3G60490	AT5G18130
AT3G60490	AT5G43190
AT3G60490	AT5G57340
AT3G60490	AT1G12240
AT3G60490	AT1G64660
AT3G60490	AT2G22540
AT3G60490	AT2G43060
AT3G60490	AT2G43710
AT3G60490	AT4G10310
AT3G60490	AT4G14930
AT3G60490	AT4G17340
AT3G60490	AT4G30270
AT3G60490	AT5G48150
AT3G60490	AT5G60850
AT3G60490	AT1G06040
AT3G60490	AT1G08510
AT3G60490	AT1G22640
AT3G60490	AT1G34000
AT3G60490	AT1G70940
AT3G60490	AT1G76490
AT3G60490	AT1G80180
AT3G60490	AT2G15320
AT3G60490	AT3G06170
AT3G60490	AT3G13720
AT3G60490	AT3G16850
AT3G60490	AT3G29240
AT3G60490	AT3G45600
AT3G60490	AT3G55960
AT3G60490	AT3G61260
AT3G60490	AT3G61460
AT3G60490	AT4G01330
AT3G60490	AT4G17170
AT3G60490	AT5G01520
AT3G60490	AT5G05690
AT3G60490	AT5G63800
AT3G60490	AT1G06980
AT3G60490	AT1G22910
AT3G60490	AT1G53180
AT3G60490	AT1G64640
AT3G60490	AT1G75590
AT3G60490	AT2G14890
AT3G60490	AT2G18010
AT3G60490	AT2G37640
AT3G60490	AT2G40610
AT3G60490	AT2G42900
AT3G60490	AT2G47930
AT3G60490	AT3G03830
AT3G60490	AT4G12730
AT3G60490	AT4G27260
AT3G60490	AT5G12940
AT3G60490	AT5G60840
AT3G60490	AT5G66690
AT3G60490	AT1G23030
AT3G60490	AT1G76240
AT3G60490	AT2G06850
AT3G60490	AT2G38120
AT3G60490	AT2G42380
AT3G60490	AT3G02170
AT3G60490	AT3G06770
AT3G60490	AT3G60550
AT3G60490	AT4G22190
AT3G60490	AT4G32890
AT3G60490	AT5G11890
AT3G60490	AT5G51670
AT3G60490	AT5G54510
AT3G60490	AT5G64330
AT3G60490	AT1G70000
AT3G60490	AT2G29090
AT3G60490	AT4G15550
AT3G60490	AT5G43450
AT3G60490	AT1G06430
AT3G60490	AT1G64500
AT3G60490	AT1G64780
AT3G60490	AT2G19650
AT3G60490	AT2G21320
