tf.at_id	target.at_id
AT5G47370	AT1G73480
AT5G47370	AT5G39610
AT5G47370	AT1G08630
AT5G47370	AT1G09530
AT5G47370	AT1G14890
AT5G47370	AT1G73500
AT5G47370	AT1G79700
AT5G47370	AT2G18700
AT5G47370	AT2G25900
AT5G47370	AT2G36900
AT5G47370	AT3G04350
AT5G47370	AT4G28040
AT5G47370	AT5G57340
AT5G47370	AT1G12240
AT5G47370	AT2G01570
AT5G47370	AT2G10940
AT5G47370	AT2G42620
AT5G47370	AT3G53420
AT5G47370	AT4G17030
AT5G47370	AT5G02230
AT5G47370	AT5G10770
AT5G47370	AT5G47560
AT5G47370	AT1G06040
AT5G47370	AT1G23390
AT5G47370	AT1G52880
AT5G47370	AT1G76490
AT5G47370	AT2G15320
AT5G47370	AT2G15580
AT5G47370	AT3G16850
AT5G47370	AT3G21260
AT5G47370	AT3G55960
AT5G47370	AT4G05150
AT5G47370	AT4G38690
AT5G47370	AT5G01520
AT5G47370	AT5G49360
AT5G47370	AT5G63800
AT5G47370	AT1G04610
AT5G47370	AT1G06980
AT5G47370	AT1G62770
AT5G47370	AT1G75590
AT5G47370	AT3G08030
AT5G47370	AT4G28720
AT5G47370	AT4G38860
AT5G47370	AT5G12940
AT5G47370	AT5G47370
AT5G47370	AT1G22330
AT5G47370	AT1G23030
AT5G47370	AT1G27670
AT5G47370	AT1G35430
AT5G47370	AT2G38120
AT5G47370	AT2G42380
AT5G47370	AT3G05490
AT5G47370	AT3G60550
AT5G47370	AT4G22190
AT5G47370	AT4G23870
AT5G47370	AT1G66540
AT5G47370	AT2G29090
AT5G47370	AT3G50560
AT5G47370	AT4G15550
AT5G47370	AT2G31750
AT5G47370	AT4G16690
AT5G47370	AT4G36530
AT5G47370	AT3G03270
AT5G47370	AT3G10985
AT5G47370	AT4G14130
AT5G47370	AT1G07090
AT5G47370	AT1G30130
AT5G47370	AT1G71960
AT5G47370	AT3G14280
AT5G47370	AT3G60490
AT5G47370	AT5G18970
AT5G47370	AT5G64100
AT5G47370	AT1G16850
AT5G47370	AT1G22190
AT5G47370	AT1G30040
AT5G47370	AT1G36060
AT5G47370	AT1G58340
AT5G47370	AT1G77450
AT5G47370	AT2G18550
AT5G47370	AT2G28400
AT5G47370	AT2G36270
AT5G47370	AT2G46270
AT5G47370	AT3G08970
AT5G47370	AT3G29575
AT5G47370	AT5G47420
AT5G47370	AT5G54490
AT5G47370	AT5G66700
AT5G47370	AT1G05100
AT5G47370	AT1G48000
AT5G47370	AT1G56600
AT5G47370	AT1G61890
AT5G47370	AT1G72800
AT5G47370	AT3G02480
AT5G47370	AT3G06760
AT5G47370	AT3G61630
AT5G47370	AT2G47240
AT5G47370	AT4G18480
AT5G47370	AT3G25660
AT5G47370	AT1G70200
AT5G47370	AT5G46580
AT5G47370	AT1G36390
AT5G47370	AT4G34290
AT5G47370	AT1G49975
AT5G47370	AT3G21200
AT5G47370	AT4G39040
AT5G47370	AT5G28500
AT5G47370	AT4G15510
AT5G47370	AT1G69200
AT5G47370	AT3G27160
AT5G47370	AT3G16290
AT5G47370	AT1G63100
AT5G47370	AT3G17160
AT5G47370	AT3G45980
AT5G47370	AT3G52920
AT5G47370	AT5G17800
AT5G47370	AT1G72250
AT5G47370	AT1G15660
AT5G47370	AT5G23940
AT5G47370	AT5G27330
AT5G47370	AT4G14770
AT5G47370	AT2G37470
AT5G47370	AT3G27360
AT5G47370	AT2G01830
AT5G47370	AT3G18170
AT5G47370	AT4G13410
AT5G47370	AT4G37410
AT5G47370	AT5G15470
AT5G47370	AT1G31710
AT5G47370	AT5G37770
AT5G47370	AT5G65020
AT5G47370	AT2G01910
AT5G47370	AT1G58270
AT5G47370	AT3G27400
AT5G47370	AT1G49430
AT5G47370	AT5G54160
AT5G47370	AT3G02250
AT5G47370	AT4G30530
AT5G47370	AT4G29700
AT5G47370	AT3G48350
