tf.at_id	target.at_id
AT4G11660	AT1G26800
AT4G11660	AT3G23150
AT4G11660	AT3G26510
AT4G11660	AT1G68840
AT4G11660	AT2G36220
AT4G11660	AT3G01400
AT4G11660	AT3G11690
AT4G11660	AT1G53180
AT4G11660	AT3G03830
AT4G11660	AT1G76240
AT4G11660	AT1G01520
AT4G11660	AT3G50560
AT4G11660	AT1G21410
AT4G11660	AT3G01210
AT4G11660	AT5G54300
AT4G11660	AT2G28110
AT4G11660	AT2G46600
AT4G11660	AT5G03460
AT4G11660	AT5G18970
AT4G11660	AT1G66080
AT4G11660	AT3G08970
AT4G11660	AT5G03210
AT4G11660	AT5G51440
AT4G11660	AT2G30140
AT4G11660	AT3G53230
AT4G11660	AT4G11660
AT4G11660	AT5G64230
AT4G11660	AT3G48730
AT4G11660	AT4G34290
AT4G11660	AT3G47450
AT4G11660	AT3G45980
AT4G11660	AT4G31610
AT4G11660	AT4G33400
AT4G11660	AT5G23940
AT4G11660	AT5G01370
AT4G11660	AT5G11160
AT4G11660	AT1G07370
AT4G11660	AT2G29570
AT4G11660	AT5G48360
AT4G11660	AT1G78570
AT4G11660	AT3G02250
AT4G11660	AT4G29690
