Tf.AT_id	TArGeT.AT_id
AT1G01720	AT3G18550
AT1G01720	AT1G26800
AT1G01720	AT1G73480
AT1G01720	AT2G33830
AT1G01720	AT3G15770
AT1G01720	AT3G26510
AT1G01720	AT4G11360
AT1G01720	AT5G07000
AT1G01720	AT5G25350
AT1G01720	AT5G27320
AT1G01720	AT5G39610
AT1G01720	AT5G44260
AT1G01720	AT5G57660
AT1G01720	AT1G06570
AT1G01720	AT1G08630
AT1G01720	AT1G09530
AT1G01720	AT1G14890
AT1G01720	AT1G15670
AT1G01720	AT1G25560
AT1G01720	AT1G33055
AT1G01720	AT1G71030
AT1G01720	AT2G02710
AT1G01720	AT2G18700
AT1G01720	AT2G25900
AT1G01720	AT2G27830
AT1G01720	AT2G36080
AT1G01720	AT2G38400
AT1G01720	AT2G45210
AT1G01720	AT3G59940
AT1G01720	AT4G17245
AT1G01720	AT4G28040
AT1G01720	AT4G30390
AT1G01720	AT5G04760
AT1G01720	AT5G11090
AT1G01720	AT5G14780
AT1G01720	AT5G18130
AT1G01720	AT5G18490
AT1G01720	AT5G19860
AT1G01720	AT5G54080
AT1G01720	AT5G57240
AT1G01720	AT5G57900
AT1G01720	AT5G58650
AT1G01720	AT1G12240
AT1G01720	AT1G64660
AT1G01720	AT2G01570
AT1G01720	AT2G22430
AT1G01720	AT2G43060
AT1G01720	AT4G10310
AT1G01720	AT4G17030
AT1G01720	AT4G30270
AT1G01720	AT5G47560
AT1G01720	AT5G48150
AT1G01720	AT5G60850
AT1G01720	AT1G08510
AT1G01720	AT1G22640
AT1G01720	AT1G23390
AT1G01720	AT1G53560
AT1G01720	AT1G71970
AT1G01720	AT1G76490
AT1G01720	AT2G13360
AT1G01720	AT3G06170
AT1G01720	AT3G11660
AT1G01720	AT3G13720
AT1G01720	AT3G14067
AT1G01720	AT3G21260
AT1G01720	AT3G49220
AT1G01720	AT3G61260
AT1G01720	AT3G61460
AT1G01720	AT5G01520
AT1G01720	AT5G15410
AT1G01720	AT5G20700
AT1G01720	AT5G49360
AT1G01720	AT5G63800
AT1G01720	AT5G65380
AT1G01720	AT1G22910
AT1G01720	AT1G62770
AT1G01720	AT1G64640
AT1G01720	AT2G37640
AT1G01720	AT2G40610
AT1G01720	AT2G41760
AT1G01720	AT2G42900
AT1G01720	AT3G08030
AT1G01720	AT4G28720
AT1G01720	AT4G34770
AT1G01720	AT4G38860
AT1G01720	AT5G12940
AT1G01720	AT5G14690
AT1G01720	AT5G25190
AT1G01720	AT5G47370
AT1G01720	AT5G50335
AT1G01720	AT1G04250
AT1G01720	AT1G06080
AT1G01720	AT1G17700
AT1G01720	AT1G23030
AT1G01720	AT1G27670
AT1G01720	AT1G53700
AT1G01720	AT1G76240
AT1G01720	AT2G38120
AT1G01720	AT2G45400
AT1G01720	AT3G05490
AT1G01720	AT3G06770
AT1G01720	AT3G08670
AT1G01720	AT3G44610
AT1G01720	AT3G58120
AT1G01720	AT4G14550
AT1G01720	AT4G20870
AT1G01720	AT4G32890
AT1G01720	AT4G37890
AT1G01720	AT5G11890
AT1G01720	AT5G22940
AT1G01720	AT5G23210
AT1G01720	AT5G49800
AT1G01720	AT5G51670
AT1G01720	AT5G54510
AT1G01720	AT5G64330
AT1G01720	AT5G66080
AT1G01720	AT1G70985
AT1G01720	AT1G79270
AT1G01720	AT2G29090
AT1G01720	AT4G15550
AT1G01720	AT5G43450
AT1G01720	AT1G06430
AT1G01720	AT1G10740
AT1G01720	AT1G55910
AT1G01720	AT1G64500
AT1G01720	AT1G64780
AT1G01720	AT2G25680
AT1G01720	AT2G31750
AT1G01720	AT3G16910
AT1G01720	AT3G24190
AT1G01720	AT3G27170
AT1G01720	AT4G14690
AT1G01720	AT4G16690
AT1G01720	AT4G17840
AT1G01720	AT4G27657
AT1G01720	AT4G33660
AT1G01720	AT4G36530
AT1G01720	AT5G03555
AT1G01720	AT5G06980
AT1G01720	AT5G23730
AT1G01720	AT5G43260
AT1G01720	AT5G47610
AT1G01720	AT5G52570
AT1G01720	AT5G53970
AT1G01720	AT5G54300
AT1G01720	AT5G58770
AT1G01720	AT2G37750
AT1G01720	AT3G03270
AT1G01720	AT4G15800
AT1G01720	AT1G07750
AT1G01720	AT1G14730
AT1G01720	AT1G23040
AT1G01720	AT2G19570
AT1G01720	AT2G26170
AT1G01720	AT2G28110
AT1G01720	AT2G32300
AT1G01720	AT3G12500
AT1G01720	AT3G14280
AT1G01720	AT3G18560
AT1G01720	AT3G21710
AT1G01720	AT3G49780
AT1G01720	AT3G60490
