tf.at_id	target.at_id
AT1G52880	AT3G18550
AT1G52880	AT1G04310
AT1G52880	AT1G26800
AT1G52880	AT2G18050
AT1G52880	AT3G15770
AT1G52880	AT3G23150
AT1G52880	AT4G11360
AT1G52880	AT5G07000
AT1G52880	AT5G39610
AT1G52880	AT5G44260
AT1G52880	AT5G57660
AT1G52880	AT1G06570
AT1G52880	AT1G08630
AT1G52880	AT1G14890
AT1G52880	AT1G15670
AT1G52880	AT1G22985
AT1G52880	AT1G43700
AT1G52880	AT1G71030
AT1G52880	AT1G72060
AT1G52880	AT2G18700
AT1G52880	AT2G25900
AT1G52880	AT2G36080
AT1G52880	AT2G44130
AT1G52880	AT2G45210
AT1G52880	AT3G62650
AT1G52880	AT4G00335
AT1G52880	AT4G17245
AT1G52880	AT4G28040
AT1G52880	AT4G35770
AT1G52880	AT5G04760
AT1G52880	AT5G11090
AT1G52880	AT5G16110
AT1G52880	AT5G18130
AT1G52880	AT5G19860
AT1G52880	AT5G54080
AT1G52880	AT5G57240
AT1G52880	AT5G57340
AT1G52880	AT5G57900
AT1G52880	AT5G64260
AT1G52880	AT1G12240
AT1G52880	AT1G64660
AT1G52880	AT2G01570
AT1G52880	AT2G43060
AT1G52880	AT2G43710
AT1G52880	AT4G10310
AT1G52880	AT4G17030
AT1G52880	AT4G30270
AT1G52880	AT5G23870
AT1G52880	AT5G47560
AT1G52880	AT5G60850
AT1G52880	AT1G06040
AT1G52880	AT1G08510
AT1G52880	AT1G22640
AT1G52880	AT1G53560
AT1G52880	AT1G71970
AT1G52880	AT1G76490
AT1G52880	AT2G13360
AT1G52880	AT3G11660
AT1G52880	AT3G13720
AT1G52880	AT3G16850
AT1G52880	AT3G26520
AT1G52880	AT3G49220
AT1G52880	AT3G61460
AT1G52880	AT5G01520
AT1G52880	AT5G49360
AT1G52880	AT5G63800
AT1G52880	AT5G65380
AT1G52880	AT1G06980
AT1G52880	AT1G44830
AT1G52880	AT1G53180
AT1G52880	AT1G75590
AT1G52880	AT2G37640
AT1G52880	AT2G40610
AT1G52880	AT2G42900
AT1G52880	AT3G08030
AT1G52880	AT4G27260
AT1G52880	AT4G28720
AT1G52880	AT4G38860
AT1G52880	AT1G06080
AT1G52880	AT1G23030
AT1G52880	AT1G27670
AT1G52880	AT1G53700
AT1G52880	AT3G02170
AT1G52880	AT3G06770
AT1G52880	AT3G08670
AT1G52880	AT4G14550
AT1G52880	AT4G32890
AT1G52880	AT5G22940
AT1G52880	AT5G23210
AT1G52880	AT5G51670
AT1G52880	AT5G64330
AT1G52880	AT5G66080
AT1G52880	AT1G70000
AT1G52880	AT2G29090
AT1G52880	AT4G15550
AT1G52880	AT5G43450
AT1G52880	AT1G06430
AT1G52880	AT1G10740
AT1G52880	AT1G21410
AT1G52880	AT1G55910
AT1G52880	AT1G64780
AT1G52880	AT1G64900
AT1G52880	AT2G27420
AT1G52880	AT2G31750
AT1G52880	AT3G16910
AT1G52880	AT4G36530
AT1G52880	AT5G23730
AT1G52880	AT5G53970
AT1G52880	AT5G54300
AT1G52880	AT5G59400
AT1G52880	AT1G61667
AT1G52880	AT1G69850
AT1G52880	AT2G37750
AT1G52880	AT3G02910
AT1G52880	AT3G03270
AT1G52880	AT4G15800
AT1G52880	AT5G01740
AT1G52880	AT1G14730
AT1G52880	AT1G23040
AT1G52880	AT1G52140
AT1G52880	AT1G71960
AT1G52880	AT2G19570
AT1G52880	AT2G26170
AT1G52880	AT3G18560
AT1G52880	AT3G21710
AT1G52880	AT5G09440
AT1G52880	AT5G37540
AT1G52880	AT1G09140
AT1G52880	AT1G11210
AT1G52880	AT1G22190
AT1G52880	AT1G58340
AT1G52880	AT1G68620
AT1G52880	AT2G18550
AT1G52880	AT2G28400
AT1G52880	AT2G35950
AT1G52880	AT2G41010
AT1G52880	AT3G12050
AT1G52880	AT3G57010
AT1G52880	AT4G04620
AT1G52880	AT4G36740
AT1G52880	AT5G66700
AT1G52880	AT1G07430
AT1G52880	AT1G48000
AT1G52880	AT1G61890
AT1G52880	AT1G69260
AT1G52880	AT1G69480
AT1G52880	AT1G72800
AT1G52880	AT2G45570
AT1G52880	AT3G19580
AT1G52880	AT3G48580
AT1G52880	AT3G61630
AT1G52880	AT4G02280
AT1G52880	AT4G05020
AT1G52880	AT4G13180
AT1G52880	AT5G04340
AT1G52880	AT5G05220
AT1G52880	AT5G05410
AT1G52880	AT5G06760
AT1G52880	AT5G13330
AT1G52880	AT5G64230
AT1G52880	AT1G68780
AT1G52880	AT2G47240
AT1G52880	AT4G20130
AT1G52880	AT1G03630
AT1G52880	AT3G48730
AT1G52880	AT1G70200
AT1G52880	AT5G05740
AT1G52880	AT5G55220
AT1G52880	AT5G57170
AT1G52880	AT1G49975
AT1G52880	AT2G31890
AT1G52880	AT1G76450
AT1G52880	AT1G31800
AT1G52880	AT4G37510
AT1G52880	AT5G52520
AT1G52880	AT4G11175
AT1G52880	AT1G06420
AT1G52880	AT3G23580
AT1G52880	AT3G52920
AT1G52880	AT5G03870
AT1G52880	AT4G02060
AT1G52880	AT3G19590
AT1G52880	AT1G78770
AT1G52880	AT5G23940
AT1G52880	AT2G07170
AT1G52880	AT1G21810
AT1G52880	AT3G53190
AT1G52880	AT1G73590
AT1G52880	AT2G21790
AT1G52880	AT3G01410
AT1G52880	AT1G19850
AT1G52880	AT5G22880
AT1G52880	AT5G28640
AT1G52880	AT5G05860
AT1G52880	AT4G39940
AT1G52880	AT1G06640
AT1G52880	AT5G52320
AT1G52880	AT5G15470
AT1G52880	AT5G37770
AT1G52880	AT5G61810
AT1G52880	AT4G27860
AT1G52880	AT1G58270
AT1G52880	AT2G39420
AT1G52880	AT1G01120
AT1G52880	AT4G17470
AT1G52880	AT2G37040
AT1G52880	AT5G13930
AT1G52880	AT2G22930
AT1G52880	AT1G16530
AT1G52880	AT5G61570
