Tf.aT_id	TarGeT.aT_id
AT5G63790	AT1G04310
AT5G63790	AT1G21680
AT5G63790	AT1G26800
AT5G63790	AT1G69490
AT5G63790	AT1G73480
AT5G63790	AT2G33830
AT5G63790	AT2G41230
AT5G63790	AT2G44080
AT5G63790	AT3G03870
AT5G63790	AT3G15770
AT5G63790	AT3G23150
AT5G63790	AT3G26510
AT5G63790	AT3G59900
AT5G63790	AT4G05070
AT5G63790	AT4G11360
AT5G63790	AT5G02020
AT5G63790	AT5G07000
AT5G63790	AT5G07010
AT5G63790	AT5G39610
AT5G63790	AT5G44260
AT5G63790	AT5G57660
AT5G63790	AT1G06570
AT5G63790	AT1G08630
AT5G63790	AT1G14890
AT5G63790	AT1G21780
AT5G63790	AT1G23870
AT5G63790	AT1G27290
AT5G63790	AT1G33055
AT5G63790	AT1G56220
AT5G63790	AT1G68840
AT5G63790	AT1G71030
AT5G63790	AT1G72060
AT5G63790	AT1G73500
AT5G63790	AT1G76410
AT5G63790	AT2G02710
AT5G63790	AT2G22680
AT5G63790	AT2G27830
AT5G63790	AT2G36080
AT5G63790	AT2G36220
AT5G63790	AT2G38820
AT5G63790	AT2G40970
AT5G63790	AT2G44130
AT5G63790	AT2G45210
AT5G63790	AT3G04350
AT5G63790	AT3G07560
AT5G63790	AT3G14595
AT5G63790	AT3G15450
AT5G63790	AT3G49790
AT5G63790	AT3G62650
AT5G63790	AT4G01120
AT5G63790	AT4G17245
AT5G63790	AT4G21510
AT5G63790	AT4G28040
AT5G63790	AT4G28300
AT5G63790	AT4G29190
AT5G63790	AT4G30390
AT5G63790	AT4G35770
AT5G63790	AT5G04760
AT5G63790	AT5G14780
AT5G63790	AT5G18130
AT5G63790	AT5G18490
AT5G63790	AT5G19860
AT5G63790	AT5G21170
AT5G63790	AT5G43190
AT5G63790	AT5G54080
AT5G63790	AT5G57900
AT5G63790	AT5G57910
AT5G63790	AT5G58650
AT5G63790	AT5G64260
AT5G63790	AT1G64660
AT5G63790	AT2G01570
AT5G63790	AT2G22430
AT5G63790	AT2G39010
AT5G63790	AT2G43060
AT5G63790	AT3G17100
AT5G63790	AT4G14930
AT5G63790	AT4G30270
AT5G63790	AT5G02230
AT5G63790	AT5G10770
