tf.at_id	target.at_id
AT5G60850	AT3G18550
AT5G60850	AT1G23050
AT5G60850	AT1G28330
AT5G60850	AT1G69490
AT5G60850	AT2G39980
AT5G60850	AT3G59900
AT5G60850	AT5G02020
AT5G60850	AT5G25350
AT5G60850	AT5G27320
AT5G60850	AT5G39610
AT5G60850	AT5G49700
AT5G60850	AT5G57660
AT5G60850	AT1G09530
AT5G60850	AT1G15670
AT5G60850	AT1G21780
AT5G60850	AT1G22985
AT5G60850	AT1G23870
AT5G60850	AT1G27290
AT5G60850	AT1G43700
AT5G60850	AT1G71030
AT5G60850	AT1G76410
AT5G60850	AT1G79700
AT5G60850	AT2G02710
AT5G60850	AT2G04550
AT5G60850	AT2G17880
AT5G60850	AT2G22680
AT5G60850	AT2G25900
AT5G60850	AT2G36080
AT5G60850	AT2G36900
AT5G60850	AT2G38400
AT5G60850	AT2G40970
AT5G60850	AT2G44130
AT5G60850	AT2G45210
AT5G60850	AT3G14595
AT5G60850	AT3G15450
AT5G60850	AT3G16770
AT5G60850	AT4G00335
AT5G60850	AT4G17245
AT5G60850	AT4G27450
AT5G60850	AT5G11090
AT5G60850	AT5G14780
AT5G60850	AT5G16110
AT5G60850	AT5G21170
AT5G60850	AT5G57240
AT5G60850	AT5G57910
AT5G60850	AT5G64260
AT5G60850	AT1G12240
AT5G60850	AT1G64660
AT5G60850	AT2G10940
AT5G60850	AT2G22430
AT5G60850	AT2G31110
AT5G60850	AT2G42620
AT5G60850	AT2G43060
AT5G60850	AT2G43710
AT5G60850	AT2G45960
AT5G60850	AT3G11690
AT5G60850	AT3G17100
AT5G60850	AT3G53420
AT5G60850	AT4G10310
AT5G60850	AT4G30270
AT5G60850	AT5G02230
AT5G60850	AT5G48150
AT5G60850	AT1G01620
AT5G60850	AT1G08510
AT5G60850	AT1G22640
AT5G60850	AT1G23390
AT5G60850	AT1G52880
AT5G60850	AT1G53560
AT5G60850	AT1G70940
AT5G60850	AT1G76490
AT5G60850	AT2G15320
AT5G60850	AT2G32090
AT5G60850	AT3G13062
AT5G60850	AT3G26520
AT5G60850	AT3G49220
AT5G60850	AT3G55960
AT5G60850	AT3G61460
AT5G60850	AT4G01330
AT5G60850	AT5G01520
AT5G60850	AT5G03230
AT5G60850	AT5G05690
AT5G60850	AT5G63800
AT5G60850	AT5G65380
AT5G60850	AT1G04610
AT5G60850	AT1G22910
AT5G60850	AT1G36940
AT5G60850	AT1G44830
AT5G60850	AT1G53180
AT5G60850	AT1G75590
AT5G60850	AT3G08030
AT5G60850	AT4G12730
AT5G60850	AT4G27260
AT5G60850	AT4G28720
AT5G60850	AT4G34770
AT5G60850	AT4G35720
AT5G60850	AT4G38860
AT5G60850	AT5G25190
AT5G60850	AT5G49170
AT5G60850	AT1G04250
AT5G60850	AT1G27670
AT5G60850	AT2G06850
AT5G60850	AT2G38120
AT5G60850	AT3G02170
AT5G60850	AT3G05490
AT5G60850	AT3G06770
AT5G60850	AT3G08670
AT5G60850	AT3G19380
AT5G60850	AT3G44610
AT5G60850	AT3G60550
AT5G60850	AT4G14550
AT5G60850	AT4G20870
AT5G60850	AT4G22190
AT5G60850	AT4G23870
AT5G60850	AT4G30410
AT5G60850	AT4G32890
AT5G60850	AT4G37890
AT5G60850	AT5G02550
AT5G60850	AT5G22940
AT5G60850	AT5G49800
AT5G60850	AT5G51670
AT5G60850	AT5G54510
AT5G60850	AT5G59010
AT5G60850	AT5G64330
AT5G60850	AT1G01520
AT5G60850	AT1G32520
AT5G60850	AT1G70000
AT5G60850	AT1G70985
AT5G60850	AT1G79270
AT5G60850	AT1G79520
AT5G60850	AT4G15550
AT5G60850	AT4G34000
AT5G60850	AT1G75810
