Tf.aT_id	TArGeT.AT_id
AT5G39610	AT3G18550
AT5G39610	AT1G69490
AT5G39610	AT3G15770
AT5G39610	AT3G23150
AT5G39610	AT5G44260
AT5G39610	AT5G57660
AT5G39610	AT2G22680
AT5G39610	AT5G18130
AT5G39610	AT5G54080
AT5G39610	AT5G57900
AT5G39610	AT5G64260
AT5G39610	AT1G12240
AT5G39610	AT1G64660
AT5G39610	AT2G01570
AT5G39610	AT4G30270
AT5G39610	AT5G60850
AT5G39610	AT1G23390
AT5G39610	AT1G53560
AT5G39610	AT2G13360
AT5G39610	AT3G11660
AT5G39610	AT3G13720
AT5G39610	AT3G16850
AT5G39610	AT3G61460
AT5G39610	AT5G01520
AT5G39610	AT5G20700
AT5G39610	AT5G63800
AT5G39610	AT1G04610
AT5G39610	AT2G40610
AT5G39610	AT2G42900
AT5G39610	AT3G08030
AT5G39610	AT4G38860
AT5G39610	AT1G17700
AT5G39610	AT1G23030
AT5G39610	AT1G53700
AT5G39610	AT2G38120
AT5G39610	AT2G39180
AT5G39610	AT3G08670
AT5G39610	AT5G64330
AT5G39610	AT5G66080
AT5G39610	AT4G15550
AT5G39610	AT4G28740
AT5G39610	AT5G53970
AT5G39610	AT5G54300
AT5G39610	AT1G75440
AT5G39610	AT2G37750
AT5G39610	AT4G15800
AT5G39610	AT1G22885
AT5G39610	AT1G23040
AT5G39610	AT2G19570
AT5G39610	AT2G26170
AT5G39610	AT3G21710
AT5G39610	AT4G14010
AT5G39610	AT5G38610
AT5G39610	AT1G02470
AT5G39610	AT1G58340
AT5G39610	AT1G68620
AT5G39610	AT3G17520
AT5G39610	AT1G48000
AT5G39610	AT2G45570
AT5G39610	AT3G19580
AT5G39610	AT4G02280
AT5G39610	AT5G04340
AT5G39610	AT5G06760
AT5G39610	AT5G64230
AT5G39610	AT2G37660
AT5G39610	AT1G48520
AT5G39610	AT1G70200
AT5G39610	AT5G05740
AT5G39610	AT1G49975
AT5G39610	AT1G32470
AT5G39610	AT4G04890
AT5G39610	AT3G09210
AT5G39610	AT1G63100
AT5G39610	AT2G26400
AT5G39610	AT5G55520
AT5G39610	AT1G78430
AT5G39610	AT5G60210
AT5G39610	AT5G11160
AT5G39610	AT4G29030
AT5G39610	AT5G24330
AT5G39610	AT2G37260
AT5G39610	AT4G13410
AT5G39610	AT4G39940
AT5G39610	AT5G52320
AT5G39610	AT4G21760
AT5G39610	AT5G17220
AT5G39610	AT4G04830
AT5G39610	AT3G16340
AT5G39610	AT4G27860
AT5G39610	AT1G58270
AT5G39610	AT2G44230
AT5G39610	AT1G01120
AT5G39610	AT1G49430
AT5G39610	AT4G17470
AT5G39610	AT5G13930
AT5G39610	AT4G29700
AT5G39610	AT5G61570
AT5G39610	AT5G58670
