tf.at_id	target.at_id
AT4G04890	AT2G39980
AT4G04890	AT3G26510
AT4G04890	AT5G02020
AT4G04890	AT1G33055
AT4G04890	AT1G73500
AT4G04890	AT1G76410
AT4G04890	AT2G04550
AT4G04890	AT2G18700
AT4G04890	AT2G19810
AT4G04890	AT2G38400
AT4G04890	AT2G38820
AT4G04890	AT2G44130
AT4G04890	AT3G04350
AT4G04890	AT3G47340
AT4G04890	AT4G28040
AT4G04890	AT5G11090
AT4G04890	AT5G18490
AT4G04890	AT5G10770
AT4G04890	AT5G47560
AT4G04890	AT1G76490
AT4G04890	AT2G42900
AT4G04890	AT3G08030
AT4G04890	AT4G28720
AT4G04890	AT5G14690
AT4G04890	AT5G66690
AT4G04890	AT1G04250
AT4G04890	AT1G76240
AT4G04890	AT2G38120
AT4G04890	AT3G08670
AT4G04890	AT3G60550
AT4G04890	AT4G32890
AT4G04890	AT5G54510
AT4G04890	AT5G64330
AT4G04890	AT1G79520
AT4G04890	AT2G29090
AT4G04890	AT2G36630
AT4G04890	AT5G01740
AT4G04890	AT1G14730
AT4G04890	AT3G12500
AT4G04890	AT3G49780
AT4G04890	AT3G60490
AT4G04890	AT5G67600
AT4G04890	AT2G18550
AT4G04890	AT3G08970
AT4G04890	AT3G23170
AT4G04890	AT4G04620
AT4G04890	AT4G10040
AT4G04890	AT4G36740
AT4G04890	AT5G66700
AT4G04890	AT1G05100
AT4G04890	AT1G09070
AT4G04890	AT1G17830
AT4G04890	AT1G56600
AT4G04890	AT1G72800
AT4G04890	AT2G30140
AT4G04890	AT3G61980
AT4G04890	AT5G57050
AT4G04890	AT5G64230
AT4G04890	AT2G37660
AT4G04890	AT4G20130
AT4G04890	AT3G04260
AT4G04890	AT3G29185
AT4G04890	AT5G51545
AT4G04890	AT5G57030
AT4G04890	AT3G13120
AT4G04890	AT3G04760
AT4G04890	AT2G26400
AT4G04890	AT3G23670
AT4G04890	AT3G52920
AT4G04890	AT3G08770
AT4G04890	AT4G02060
AT4G04890	AT3G14890
AT4G04890	AT5G67270
AT4G04890	AT3G19590
AT4G04890	AT1G08560
AT4G04890	AT1G17140
AT4G04890	AT4G02800
AT4G04890	AT5G01370
AT4G04890	AT5G04320
AT4G04890	AT1G73590
AT4G04890	AT5G23420
AT4G04890	AT2G46650
AT4G04890	AT4G31800
AT4G04890	AT5G08030
AT4G04890	AT2G14750
AT4G04890	AT1G58270
AT4G04890	AT5G19260
AT4G04890	AT3G06020
AT4G04890	AT1G01120
AT4G04890	AT1G74210
AT4G04890	AT2G37040
AT4G04890	AT5G08640
AT4G04890	AT5G53760
AT4G04890	AT4G22570
AT4G04890	AT4G29690
