Tf.AT_id	TArGeT.AT_id
AT2G01570	AT2G44080
AT2G01570	AT3G26510
AT2G01570	AT1G03610
AT2G01570	AT1G08630
AT2G01570	AT1G25560
AT2G01570	AT2G36080
AT2G01570	AT3G15450
AT2G01570	AT4G29190
AT2G01570	AT5G18490
AT2G01570	AT2G01570
AT2G01570	AT2G22430
AT2G01570	AT5G02230
AT2G01570	AT1G53560
AT2G01570	AT1G70940
AT2G01570	AT3G14067
AT2G01570	AT5G49360
AT2G01570	AT5G47370
AT2G01570	AT4G15550
AT2G01570	AT3G24190
AT2G01570	AT4G13010
AT2G01570	AT5G06980
AT2G01570	AT3G10985
AT2G01570	AT2G22850
AT2G01570	AT1G22190
AT2G01570	AT3G29575
AT2G01570	AT3G63190
AT2G01570	AT3G13120
AT2G01570	AT1G18370
AT2G01570	AT5G23940
AT2G01570	AT3G27330
AT2G01570	AT4G31800
AT2G01570	AT4G29700
