Tf.AT_id	TArGeT.AT_id
AT5G53210	AT1G04310
AT5G53210	AT1G21680
AT5G53210	AT1G26800
AT5G53210	AT1G73480
AT5G53210	AT1G75490
AT5G53210	AT2G33830
AT5G53210	AT2G39980
AT5G53210	AT2G44080
AT5G53210	AT3G03870
AT5G53210	AT3G23150
AT5G53210	AT3G59900
AT5G53210	AT4G11360
AT5G53210	AT4G14270
AT5G53210	AT5G07000
AT5G53210	AT5G19120
AT5G53210	AT5G25350
AT5G53210	AT5G27320
AT5G53210	AT1G06570
AT5G53210	AT1G08630
AT5G53210	AT1G09530
AT5G53210	AT1G22985
AT5G53210	AT1G27290
AT5G53210	AT1G49210
AT5G53210	AT1G56220
AT5G53210	AT1G71030
AT5G53210	AT1G76410
AT5G53210	AT1G79700
AT5G53210	AT2G04550
AT5G53210	AT2G17880
AT5G53210	AT2G19810
AT5G53210	AT2G22680
AT5G53210	AT2G25900
AT5G53210	AT2G36080
AT5G53210	AT2G36220
AT5G53210	AT2G36900
AT5G53210	AT2G38820
AT5G53210	AT2G40970
AT5G53210	AT2G45210
AT5G53210	AT3G07560
AT5G53210	AT3G15450
AT5G53210	AT3G49790
AT5G53210	AT4G00335
AT5G53210	AT4G01120
AT5G53210	AT4G02440
AT5G53210	AT4G17245
AT5G53210	AT4G21510
AT5G53210	AT4G27450
AT5G53210	AT4G28040
AT5G53210	AT4G29190
AT5G53210	AT4G30390
AT5G53210	AT4G35770
AT5G53210	AT5G14780
AT5G53210	AT5G18490
AT5G53210	AT5G21170
AT5G53210	AT5G43190
AT5G53210	AT5G54080
AT5G53210	AT5G57900
AT5G53210	AT5G58650
AT5G53210	AT1G64660
AT5G53210	AT2G10940
AT5G53210	AT2G22430
AT5G53210	AT2G43060
AT5G53210	AT4G14930
AT5G53210	AT5G23870
AT5G53210	AT5G47560
AT5G53210	AT5G48150
AT5G53210	AT1G06040
AT5G53210	AT1G08510
AT5G53210	AT1G22640
AT5G53210	AT1G23390
AT5G53210	AT1G34000
AT5G53210	AT1G53560
AT5G53210	AT1G70940
AT5G53210	AT1G76490
AT5G53210	AT2G15580
AT5G53210	AT2G21970
AT5G53210	AT2G32090
AT5G53210	AT3G13062
AT5G53210	AT3G13720
AT5G53210	AT3G21260
AT5G53210	AT3G29240
AT5G53210	AT3G49220
AT5G53210	AT3G52060
AT5G53210	AT3G55960
AT5G53210	AT3G61260
AT5G53210	AT4G05150
AT5G53210	AT4G38690
AT5G53210	AT5G01520
AT5G53210	AT5G03230
AT5G53210	AT5G05690
AT5G53210	AT5G15410
AT5G53210	AT5G20700
AT5G53210	AT5G49360
AT5G53210	AT5G63800
AT5G53210	AT5G65380
AT5G53210	AT1G53180
AT5G53210	AT1G73830
AT5G53210	AT1G75590
AT5G53210	AT2G14890
AT5G53210	AT2G37640
AT5G53210	AT2G40610
AT5G53210	AT2G42900
AT5G53210	AT4G12730
AT5G53210	AT4G25260
AT5G53210	AT4G28720
AT5G53210	AT4G30290
AT5G53210	AT4G35720
AT5G53210	AT5G02760
AT5G53210	AT5G14690
AT5G53210	AT5G25190
AT5G53210	AT5G47370
AT5G53210	AT5G49170
AT5G53210	AT5G60840
AT5G53210	AT5G66590
AT5G53210	AT1G06850
AT5G53210	AT1G22330
AT5G53210	AT1G53700
AT5G53210	AT2G06850
AT5G53210	AT2G27050
AT5G53210	AT2G39180
AT5G53210	AT2G45400
AT5G53210	AT3G05490
AT5G53210	AT3G08670
AT5G53210	AT3G19380
AT5G53210	AT3G58120
AT5G53210	AT4G22190
AT5G53210	AT4G23820
AT5G53210	AT4G37890
AT5G53210	AT5G11420
AT5G53210	AT5G11890
AT5G53210	AT5G22940
AT5G53210	AT5G66080
AT5G53210	AT1G01520
AT5G53210	AT1G65490
AT5G53210	AT1G70000
AT5G53210	AT1G79520
AT5G53210	AT4G15550
AT5G53210	AT4G34000
AT5G53210	AT5G43450
AT5G53210	AT1G10740
AT5G53210	AT1G48100
AT5G53210	AT1G64500
AT5G53210	AT1G64780
AT5G53210	AT1G75810
AT5G53210	AT2G19650
AT5G53210	AT2G27420
AT5G53210	AT2G37970
AT5G53210	AT2G41250
AT5G53210	AT2G41870
AT5G53210	AT3G16910
AT5G53210	AT3G22840
AT5G53210	AT3G24190
AT5G53210	AT3G56290
AT5G53210	AT4G13010
AT5G53210	AT4G17840
AT5G53210	AT4G27030
AT5G53210	AT4G27657
AT5G53210	AT5G06980
AT5G53210	AT5G11650
AT5G53210	AT5G43260
AT5G53210	AT5G47610
AT5G53210	AT5G52570
AT5G53210	AT5G54300
AT5G53210	AT5G59400
AT5G53210	AT1G49660
AT5G53210	AT1G61667
AT5G53210	AT1G69850
AT5G53210	AT1G75440
AT5G53210	AT2G19580
AT5G53210	AT2G37750
AT5G53210	AT2G38530
AT5G53210	AT3G02910
AT5G53210	AT3G03270
AT5G53210	AT4G15800
AT5G53210	AT1G07090
AT5G53210	AT1G07750
AT5G53210	AT1G71960
AT5G53210	AT2G04795
AT5G53210	AT2G19570
AT5G53210	AT2G22850
AT5G53210	AT2G24040
AT5G53210	AT2G28110
AT5G53210	AT2G41410
AT5G53210	AT2G46600
AT5G53210	AT3G18560
AT5G53210	AT3G21550
AT5G53210	AT4G24370
AT5G53210	AT5G03460
AT5G53210	AT1G11210
AT5G53210	AT1G30040
AT5G53210	AT1G68620
AT5G53210	AT1G77450
