tf.at_id	target.at_id
AT4G14770	AT3G18550
AT4G14770	AT1G04310
AT4G14770	AT1G23050
AT4G14770	AT2G18050
AT4G14770	AT5G02020
AT4G14770	AT5G07000
AT4G14770	AT5G44260
AT4G14770	AT1G14890
AT4G14770	AT1G22985
AT4G14770	AT1G33055
AT4G14770	AT1G56220
AT4G14770	AT1G73500
AT4G14770	AT1G76410
AT4G14770	AT2G22680
AT4G14770	AT2G25900
AT4G14770	AT2G36080
AT4G14770	AT2G38400
AT4G14770	AT2G44130
AT4G14770	AT3G47340
AT4G14770	AT3G59940
AT4G14770	AT4G27450
AT4G14770	AT5G16110
AT4G14770	AT5G57340
AT4G14770	AT2G10940
AT4G14770	AT2G22430
AT4G14770	AT2G39010
AT4G14770	AT2G42620
AT4G14770	AT2G43060
AT4G14770	AT3G53420
AT4G14770	AT4G17030
AT4G14770	AT4G30270
AT4G14770	AT5G60850
AT4G14770	AT1G22640
AT4G14770	AT1G70940
AT4G14770	AT1G71970
AT4G14770	AT2G15580
AT4G14770	AT3G26520
AT4G14770	AT3G45600
AT4G14770	AT3G61260
AT4G14770	AT5G03230
AT4G14770	AT5G05690
AT4G14770	AT5G20700
AT4G14770	AT5G49360
AT4G14770	AT1G04610
AT4G14770	AT1G36940
AT4G14770	AT1G44830
AT4G14770	AT1G73830
AT4G14770	AT2G40610
AT4G14770	AT3G08030
AT4G14770	AT4G27260
AT4G14770	AT4G35720
AT4G14770	AT5G25190
AT4G14770	AT1G06080
AT4G14770	AT1G35430
AT4G14770	AT3G05490
AT4G14770	AT4G22190
AT4G14770	AT4G23820
AT4G14770	AT4G30410
AT4G14770	AT4G37890
AT4G14770	AT5G22940
AT4G14770	AT5G51670
AT4G14770	AT5G54510
AT4G14770	AT1G66540
AT4G14770	AT1G70000
AT4G14770	AT1G06430
AT4G14770	AT1G21410
AT4G14770	AT1G48100
AT4G14770	AT1G64780
AT4G14770	AT1G64900
AT4G14770	AT1G75810
AT4G14770	AT3G56290
AT4G14770	AT4G16690
AT4G14770	AT4G17840
AT4G14770	AT4G27030
AT4G14770	AT4G32770
AT4G14770	AT5G24850
AT4G14770	AT5G53970
AT4G14770	AT1G61667
AT4G14770	AT2G37750
AT4G14770	AT3G43430
AT4G14770	AT1G14730
AT4G14770	AT1G23040
AT4G14770	AT1G52140
AT4G14770	AT1G71960
AT4G14770	AT2G19760
AT4G14770	AT2G26170
AT4G14770	AT2G40900
AT4G14770	AT3G18560
AT4G14770	AT4G23410
AT4G14770	AT5G37540
AT4G14770	AT5G38610
AT4G14770	AT5G56540
AT4G14770	AT5G67600
AT4G14770	AT1G02470
AT4G14770	AT1G16850
AT4G14770	AT1G30040
AT4G14770	AT1G36060
AT4G14770	AT1G58340
AT4G14770	AT2G16720
AT4G14770	AT2G18550
AT4G14770	AT2G28400
AT4G14770	AT3G12050
AT4G14770	AT4G04620
AT4G14770	AT4G10040
AT4G14770	AT5G54490
AT4G14770	AT1G05100
AT4G14770	AT1G27730
AT4G14770	AT1G48000
AT4G14770	AT1G61890
AT4G14770	AT3G61630
AT4G14770	AT5G17850
AT4G14770	AT1G31690
AT4G14770	AT5G53210
AT4G14770	AT5G62790
AT4G14770	AT3G25660
AT4G14770	AT3G48730
AT4G14770	AT1G43560
AT4G14770	AT3G25480
AT4G14770	AT2G34640
AT4G14770	AT1G01080
AT4G14770	AT5G46580
AT4G14770	AT5G05740
AT4G14770	AT2G26910
AT4G14770	AT4G02530
AT4G14770	AT5G39210
AT4G14770	AT3G29185
AT4G14770	AT5G28500
AT4G14770	AT5G51545
AT4G14770	AT2G02500
AT4G14770	AT4G04890
AT4G14770	AT3G09210
AT4G14770	AT5G16715
AT4G14770	AT3G13120
AT4G14770	AT1G05190
AT4G14770	AT3G27160
AT4G14770	AT4G31850
AT4G14770	AT1G05440
AT4G14770	AT2G26400
AT4G14770	AT3G45980
AT4G14770	AT3G52920
AT4G14770	AT3G61610
AT4G14770	AT3G08770
AT4G14770	AT5G03870
AT4G14770	AT1G53140
AT4G14770	AT3G23890
AT4G14770	AT1G72670
AT4G14770	AT4G21820
AT4G14770	AT2G26180
AT4G14770	AT4G05520
AT4G14770	AT1G59540
AT4G14770	AT5G51600
AT4G14770	AT3G17360
AT4G14770	AT2G22610
AT4G14770	AT3G19590
AT4G14770	AT5G48600
AT4G14770	AT1G44110
AT4G14770	AT3G54630
AT4G14770	AT2G17620
AT4G14770	AT1G17140
AT4G14770	AT4G33400
AT4G14770	AT1G09450
AT4G14770	AT1G23000
AT4G14770	AT2G07170
AT4G14770	AT5G38690
AT4G14770	AT1G21810
AT4G14770	AT5G01370
AT4G14770	AT5G27330
AT4G14770	AT1G75150
AT4G14770	AT5G57410
AT4G14770	AT1G73590
AT4G14770	AT4G23800
AT4G14770	AT2G17560
AT4G14770	AT1G48610
AT4G14770	AT5G22880
AT4G14770	AT1G10780
AT4G14770	AT5G51560
AT4G14770	AT2G01830
AT4G14770	AT3G59760
AT4G14770	AT2G14750
AT4G14770	AT1G06640
AT4G14770	AT5G52320
AT4G14770	AT1G31710
AT4G14770	AT1G17190
AT4G14770	AT3G52870
AT4G14770	AT2G38760
AT4G14770	AT4G34160
AT4G14770	AT2G39220
AT4G14770	AT2G04032
AT4G14770	AT1G58270
AT4G14770	AT5G19110
AT4G14770	AT3G01810
AT4G14770	AT1G49430
AT4G14770	AT3G02250
AT4G14770	AT5G38020
AT4G14770	AT4G22570
AT4G14770	AT1G16530
AT4G14770	AT5G01840
AT4G14770	AT4G10390
