tf.at_id	target.at_id
AT1G43700	AT1G04310
AT1G43700	AT5G19120
AT1G43700	AT1G15670
AT1G43700	AT2G25900
AT1G43700	AT4G01120
AT1G43700	AT4G35770
AT1G43700	AT5G57340
AT1G43700	AT5G64260
AT1G43700	AT3G17100
AT1G43700	AT4G30270
AT1G43700	AT5G23870
AT1G43700	AT3G16850
AT1G43700	AT3G49220
AT1G43700	AT4G17170
AT1G43700	AT5G15410
AT1G43700	AT1G06980
AT1G43700	AT2G41760
AT1G43700	AT4G27260
AT1G43700	AT5G02760
AT1G43700	AT2G42380
AT1G43700	AT3G02170
AT1G43700	AT3G05490
AT1G43700	AT3G06770
AT1G43700	AT3G44610
AT1G43700	AT3G58120
AT1G43700	AT3G60550
AT1G43700	AT5G22940
AT1G43700	AT5G54510
AT1G43700	AT1G10140
AT1G43700	AT2G35150
AT1G43700	AT4G14130
AT1G43700	AT1G71960
AT1G43700	AT3G49780
AT1G43700	AT3G08970
AT1G43700	AT3G53230
AT1G43700	AT5G64230
AT1G43700	AT1G70070
AT1G43700	AT2G41950
AT1G43700	AT5G02710
AT1G43700	AT4G39040
AT1G43700	AT3G17170
AT1G43700	AT4G16390
AT1G43700	AT5G56580
AT1G43700	AT1G76310
AT1G43700	AT4G14200
AT1G43700	AT5G27330
AT1G43700	AT4G14770
AT1G43700	AT1G23410
AT1G43700	AT5G51560
AT1G43700	AT2G28250
AT1G43700	AT5G07460
AT1G43700	AT5G61810
AT1G43700	AT1G20490
