tf.at_id	target.at_id
AT4G31800	AT3G18550
AT4G31800	AT1G04310
AT4G31800	AT1G21680
AT4G31800	AT1G73480
AT4G31800	AT1G75490
AT4G31800	AT2G39980
AT4G31800	AT3G03870
AT4G31800	AT3G23150
AT4G31800	AT3G26510
AT4G31800	AT3G59900
AT4G31800	AT4G11360
AT4G31800	AT4G14270
AT4G31800	AT5G02020
AT4G31800	AT5G19120
AT4G31800	AT5G25350
AT4G31800	AT5G27320
AT4G31800	AT5G39610
AT4G31800	AT5G44260
AT4G31800	AT5G57660
AT4G31800	AT1G03610
AT4G31800	AT1G09530
AT4G31800	AT1G15670
AT4G31800	AT1G25560
AT4G31800	AT1G28960
AT4G31800	AT1G49210
AT4G31800	AT1G68840
AT4G31800	AT1G71030
AT4G31800	AT1G72060
AT4G31800	AT1G79700
AT4G31800	AT2G04550
AT4G31800	AT2G18700
AT4G31800	AT2G25900
AT4G31800	AT2G27830
AT4G31800	AT2G36080
AT4G31800	AT2G36220
AT4G31800	AT2G36900
AT4G31800	AT2G38400
AT4G31800	AT2G44130
AT4G31800	AT2G45210
AT4G31800	AT3G01170
AT4G31800	AT3G04350
AT4G31800	AT3G47340
AT4G31800	AT3G49790
AT4G31800	AT3G59940
AT4G31800	AT3G62650
AT4G31800	AT4G08330
AT4G31800	AT4G21510
AT4G31800	AT4G27460
AT4G31800	AT4G29190
AT4G31800	AT4G35770
AT4G31800	AT5G11090
AT4G31800	AT5G18490
AT4G31800	AT5G19860
AT4G31800	AT5G21170
AT4G31800	AT5G54080
AT4G31800	AT5G57340
AT4G31800	AT5G57900
AT4G31800	AT5G58650
AT4G31800	AT2G01570
AT4G31800	AT2G22430
AT4G31800	AT2G42620
AT4G31800	AT2G43060
AT4G31800	AT2G43710
AT4G31800	AT3G11930
AT4G31800	AT4G10310
AT4G31800	AT4G30270
AT4G31800	AT5G02230
AT4G31800	AT5G10770
AT4G31800	AT5G23870
AT4G31800	AT5G48150
AT4G31800	AT5G60850
AT4G31800	AT1G23390
AT4G31800	AT2G13360
AT4G31800	AT2G32090
AT4G31800	AT3G06170
AT4G31800	AT3G14067
AT4G31800	AT3G16850
AT4G31800	AT3G21260
AT4G31800	AT3G26520
AT4G31800	AT3G29240
AT4G31800	AT3G45600
AT4G31800	AT3G49220
AT4G31800	AT3G55960
AT4G31800	AT4G17170
AT4G31800	AT5G01520
AT4G31800	AT5G03230
AT4G31800	AT5G05690
AT4G31800	AT5G06280
AT4G31800	AT5G49360
AT4G31800	AT5G63800
AT4G31800	AT5G65380
AT4G31800	AT1G04610
AT4G31800	AT1G06980
AT4G31800	AT1G09250
AT4G31800	AT1G36940
AT4G31800	AT1G53180
AT4G31800	AT1G62770
AT4G31800	AT1G64640
AT4G31800	AT1G73830
AT4G31800	AT1G75590
AT4G31800	AT2G18010
AT4G31800	AT2G41760
AT4G31800	AT2G42900
AT4G31800	AT3G08030
AT4G31800	AT4G27260
AT4G31800	AT4G28720
AT4G31800	AT4G35720
AT4G31800	AT4G38860
AT4G31800	AT5G12940
AT4G31800	AT5G25190
AT4G31800	AT5G47370
AT4G31800	AT5G49170
AT4G31800	AT5G50335
AT4G31800	AT5G66590
AT4G31800	AT1G17700
AT4G31800	AT1G23030
AT4G31800	AT1G27670
AT4G31800	AT1G35430
AT4G31800	AT1G53700
AT4G31800	AT2G38120
AT4G31800	AT2G45400
AT4G31800	AT3G05490
AT4G31800	AT3G19380
AT4G31800	AT3G44610
AT4G31800	AT3G50340
AT4G31800	AT3G58120
AT4G31800	AT4G14550
AT4G31800	AT4G22190
AT4G31800	AT4G23820
AT4G31800	AT4G23870
AT4G31800	AT4G30410
AT4G31800	AT4G32890
AT4G31800	AT4G37890
AT4G31800	AT5G02550
AT4G31800	AT5G11420
AT4G31800	AT5G22940
AT4G31800	AT5G23210
AT4G31800	AT5G54510
AT4G31800	AT5G59010
AT4G31800	AT1G01520
AT4G31800	AT1G65490
AT4G31800	AT1G70000
AT4G31800	AT1G79270
AT4G31800	AT2G36630
AT4G31800	AT4G15550
AT4G31800	AT5G43450
AT4G31800	AT1G06430
AT4G31800	AT1G16730
AT4G31800	AT1G48100
AT4G31800	AT1G64500
AT4G31800	AT1G64780
AT4G31800	AT1G64900
AT4G31800	AT1G75810
AT4G31800	AT2G21320
AT4G31800	AT2G24540
AT4G31800	AT2G25680
AT4G31800	AT2G27420
AT4G31800	AT2G31750
AT4G31800	AT3G16910
AT4G31800	AT3G22840
AT4G31800	AT3G24190
AT4G31800	AT4G13010
AT4G31800	AT4G14690
AT4G31800	AT4G27657
AT4G31800	AT4G32770
AT4G31800	AT4G36530
AT4G31800	AT5G03555
AT4G31800	AT5G06980
AT4G31800	AT5G23730
AT4G31800	AT5G52570
AT4G31800	AT5G54300
AT4G31800	AT1G10140
AT4G31800	AT1G69850
AT4G31800	AT2G35150
AT4G31800	AT2G37750
AT4G31800	AT3G10985
AT4G31800	AT1G07750
AT4G31800	AT1G14730
AT4G31800	AT1G71960
AT4G31800	AT2G19570
AT4G31800	AT2G24040
AT4G31800	AT2G26170
AT4G31800	AT3G14280
AT4G31800	AT3G18560
AT4G31800	AT3G20510
AT4G31800	AT3G49780
AT4G31800	AT4G14010
AT4G31800	AT4G23410
AT4G31800	AT4G35350
AT4G31800	AT4G38080
AT4G31800	AT5G09440
AT4G31800	AT5G18690
AT4G31800	AT5G37540
AT4G31800	AT5G38610
AT4G31800	AT5G64100
AT4G31800	AT5G67600
AT4G31800	AT1G02470
AT4G31800	AT1G11210
AT4G31800	AT1G13990
AT4G31800	AT1G16850
AT4G31800	AT1G30040
AT4G31800	AT1G36060
AT4G31800	AT1G58340
AT4G31800	AT1G68620
AT4G31800	AT1G77450
AT4G31800	AT2G16720
AT4G31800	AT2G18550
AT4G31800	AT2G28400
AT4G31800	AT2G36270
AT4G31800	AT2G41010
AT4G31800	AT2G46270
AT4G31800	AT3G04010
AT4G31800	AT3G17520
AT4G31800	AT3G29575
AT4G31800	AT3G54420
AT4G31800	AT5G03210
AT4G31800	AT5G13500
AT4G31800	AT5G17780
AT4G31800	AT5G47420
AT4G31800	AT5G50360
AT4G31800	AT5G51210
AT4G31800	AT1G01720
AT4G31800	AT1G05100
AT4G31800	AT1G07430
AT4G31800	AT1G17830
AT4G31800	AT1G27730
AT4G31800	AT1G56600
AT4G31800	AT1G60190
AT4G31800	AT1G61890
AT4G31800	AT1G69260
AT4G31800	AT2G27580
AT4G31800	AT2G33590
AT4G31800	AT2G45570
AT4G31800	AT3G02480
AT4G31800	AT3G04000
AT4G31800	AT3G19580
AT4G31800	AT3G46230
AT4G31800	AT3G48020
AT4G31800	AT3G61630
AT4G31800	AT4G01870
AT4G31800	AT4G02280
AT4G31800	AT4G05020
AT4G31800	AT4G11660
AT4G31800	AT4G18280
AT4G31800	AT4G37370
AT4G31800	AT5G01820
AT4G31800	AT5G04340
AT4G31800	AT5G05410
AT4G31800	AT5G10695
AT4G31800	AT5G13330
AT4G31800	AT5G17650
AT4G31800	AT5G62480
AT4G31800	AT5G63790
AT4G31800	AT1G31690
AT4G31800	AT2G47240
AT4G31800	AT1G03630
AT4G31800	AT2G26550
AT4G31800	AT3G48730
AT4G31800	AT2G34640
AT4G31800	AT1G70200
AT4G31800	AT5G55220
AT4G31800	AT2G44650
AT4G31800	AT1G14840
AT4G31800	AT5G22640
AT4G31800	AT2G26910
AT4G31800	AT4G34290
AT4G31800	AT5G53490
AT4G31800	AT3G63160
AT4G31800	AT2G41950
AT4G31800	AT3G09050
AT4G31800	AT3G48200
AT4G31800	AT5G02710
AT4G31800	AT1G49975
AT4G31800	AT2G21385
AT4G31800	AT4G24090
AT4G31800	AT3G21200
AT4G31800	AT2G03420
AT4G31800	AT5G11480
AT4G31800	AT3G29185
AT4G31800	AT3G51140
AT4G31800	AT5G22340
AT4G31800	AT4G03150
AT4G31800	AT2G31890
AT4G31800	AT5G51545
AT4G31800	AT1G17650
AT4G31800	AT2G02500
AT4G31800	AT5G57030
AT4G31800	AT3G54090
AT4G31800	AT5G14460
AT4G31800	AT4G04890
AT4G31800	AT3G16000
AT4G31800	AT5G52520
AT4G31800	AT5G16715
AT4G31800	AT3G13120
AT4G31800	AT5G14320
AT4G31800	AT1G64510
AT4G31800	AT1G68590
AT4G31800	AT1G35680
AT4G31800	AT2G33450
AT4G31800	AT2G24090
AT4G31800	AT2G39670
AT4G31800	AT4G29060
AT4G31800	AT3G62910
AT4G31800	AT5G39830
AT4G31800	AT3G16290
AT4G31800	AT2G26330
AT4G31800	AT4G39620
AT4G31800	AT4G31850
AT4G31800	AT3G04760
AT4G31800	AT1G18485
AT4G31800	AT1G06420
AT4G31800	AT1G63100
AT4G31800	AT1G67180
AT4G31800	AT2G26400
AT4G31800	AT3G12170
AT4G31800	AT3G17160
AT4G31800	AT3G23580
AT4G31800	AT3G23670
AT4G31800	AT3G45980
AT4G31800	AT3G52920
AT4G31800	AT3G55660
AT4G31800	AT3G61610
AT4G31800	AT5G50740
AT4G31800	AT1G53140
AT4G31800	AT5G46280
AT4G31800	AT1G44900
AT4G31800	AT5G08020
AT4G31800	AT3G23890
AT4G31800	AT4G02060
AT4G31800	AT1G67630
AT4G31800	AT2G31270
AT4G31800	AT5G67100
AT4G31800	AT2G24490
AT4G31800	AT3G24495
AT4G31800	AT4G29170
AT4G31800	AT4G21820
AT4G31800	AT2G26180
AT4G31800	AT4G05520
AT4G31800	AT5G56580
AT4G31800	AT1G59540
AT4G31800	AT4G26660
AT4G31800	AT1G72250
AT4G31800	AT3G17360
AT4G31800	AT4G14150
AT4G31800	AT4G05190
AT4G31800	AT2G22610
AT4G31800	AT4G21270
AT4G31800	AT5G54670
AT4G31800	AT2G29890
AT4G31800	AT1G15660
AT4G31800	AT4G35620
AT4G31800	AT3G54630
AT4G31800	AT3G50070
AT4G31800	AT1G80370
AT4G31800	AT1G08560
AT4G31800	AT4G33400
AT4G31800	AT1G78430
AT4G31800	AT2G33560
AT4G31800	AT5G23940
AT4G31800	AT1G23000
AT4G31800	AT3G56870
AT4G31800	AT4G28310
AT4G31800	AT5G65120
AT4G31800	AT2G07170
AT4G31800	AT5G52950
AT4G31800	AT3G03130
AT4G31800	AT5G38690
AT4G31800	AT5G01370
AT4G31800	AT2G16270
AT4G31800	AT4G30130
AT4G31800	AT5G27330
AT4G31800	AT3G49250
AT4G31800	AT1G49870
AT4G31800	AT3G52110
AT4G31800	AT5G04320
AT4G31800	AT1G02730
AT4G31800	AT3G53190
AT4G31800	AT1G73590
AT4G31800	AT2G21790
AT4G31800	AT5G61000
AT4G31800	AT3G14740
AT4G31800	AT4G14770
AT4G31800	AT4G29030
AT4G31800	AT1G19850
AT4G31800	AT4G23800
AT4G31800	AT2G17560
AT4G31800	AT2G29570
AT4G31800	AT1G48610
AT4G31800	AT3G52170
AT4G31800	AT4G01730
AT4G31800	AT3G27360
AT4G31800	AT5G10400
AT4G31800	AT5G08180
AT4G31800	AT3G20260
AT4G31800	AT5G62710
AT4G31800	AT5G45780
AT4G31800	AT5G51560
AT4G31800	AT4G36180
AT4G31800	AT1G03457
AT4G31800	AT1G11580
AT4G31800	AT1G52400
AT4G31800	AT1G74000
AT4G31800	AT2G01830
AT4G31800	AT2G16660
AT4G31800	AT2G46650
AT4G31800	AT3G18170
AT4G31800	AT3G59760
AT4G31800	AT4G31800
AT4G31800	AT2G14750
AT4G31800	AT4G39940
AT4G31800	AT1G76790
AT4G31800	AT5G52320
AT4G31800	AT5G15470
AT4G31800	AT5G55180
AT4G31800	AT1G31710
AT4G31800	AT1G17190
AT4G31800	AT5G07460
AT4G31800	AT3G52870
AT4G31800	AT4G39320
AT4G31800	AT5G55400
AT4G31800	AT2G01910
AT4G31800	AT5G48850
AT4G31800	AT2G04032
AT4G31800	AT3G16340
AT4G31800	AT1G58270
AT4G31800	AT4G02850
AT4G31800	AT2G39420
AT4G31800	AT3G61380
AT4G31800	AT2G40150
AT4G31800	AT3G01810
AT4G31800	AT3G21190
AT4G31800	AT5G19260
AT4G31800	AT3G06020
AT4G31800	AT2G29510
AT4G31800	AT1G78570
AT4G31800	AT5G09870
AT4G31800	AT3G27400
AT4G31800	AT3G05910
AT4G31800	AT1G01120
AT4G31800	AT1G20490
AT4G31800	AT1G49430
AT4G31800	AT1G06550
AT4G31800	AT2G37040
AT4G31800	AT5G13930
AT4G31800	AT2G22930
AT4G31800	AT1G06000
AT4G31800	AT3G02250
AT4G31800	AT4G29740
AT4G31800	AT5G38020
AT4G31800	AT4G15210
AT4G31800	AT4G30530
AT4G31800	AT3G07320
AT4G31800	AT1G16530
AT4G31800	AT5G01840
AT4G31800	AT5G47730
AT4G31800	AT3G26700
AT4G31800	AT1G59970
AT4G31800	AT4G10390
AT4G31800	AT5G58670
AT4G31800	AT1G78050
