tf.at_id	target.at_id
AT1G27730	AT1G04310
AT1G27730	AT1G26800
AT1G27730	AT2G39980
AT1G27730	AT2G44080
AT1G27730	AT3G15770
AT1G27730	AT3G23150
AT1G27730	AT3G59900
AT1G27730	AT5G25350
AT1G27730	AT5G27320
AT1G27730	AT5G57660
AT1G27730	AT1G06570
AT1G27730	AT1G08630
AT1G27730	AT1G09530
AT1G27730	AT1G14890
AT1G27730	AT1G22985
AT1G27730	AT1G27290
AT1G27730	AT1G43700
AT1G27730	AT1G49210
AT1G27730	AT1G56220
AT1G27730	AT1G76410
AT1G27730	AT2G02710
AT1G27730	AT2G18700
AT1G27730	AT2G19810
AT1G27730	AT2G27830
AT1G27730	AT2G36900
AT1G27730	AT2G44130
AT1G27730	AT2G45210
AT1G27730	AT3G47340
AT1G27730	AT3G59940
AT1G27730	AT4G00335
AT1G27730	AT4G01120
AT1G27730	AT4G02440
AT1G27730	AT4G17245
AT1G27730	AT4G21510
AT1G27730	AT4G27450
AT1G27730	AT4G27460
AT1G27730	AT4G35770
AT1G27730	AT5G04760
AT1G27730	AT5G11090
AT1G27730	AT5G18130
AT1G27730	AT5G54080
AT1G27730	AT5G57240
AT1G27730	AT5G57340
AT1G27730	AT5G58650
AT1G27730	AT5G64260
AT1G27730	AT2G01570
AT1G27730	AT2G10940
AT1G27730	AT2G31110
AT1G27730	AT2G42620
AT1G27730	AT3G11690
AT1G27730	AT3G17100
AT1G27730	AT4G14930
AT1G27730	AT4G17030
AT1G27730	AT4G30270
AT1G27730	AT5G10770
AT1G27730	AT5G23870
AT1G27730	AT5G47560
AT1G27730	AT5G60850
AT1G27730	AT1G01620
AT1G27730	AT1G08510
AT1G27730	AT1G23390
AT1G27730	AT1G53560
AT1G27730	AT1G70940
AT1G27730	AT1G71970
AT1G27730	AT1G76490
AT1G27730	AT2G21970
AT1G27730	AT3G11660
AT1G27730	AT3G16850
AT1G27730	AT3G26520
AT1G27730	AT3G29240
AT1G27730	AT3G45600
AT1G27730	AT3G49220
AT1G27730	AT3G55960
AT1G27730	AT3G61260
AT1G27730	AT4G01330
AT1G27730	AT4G27990
AT1G27730	AT5G05690
AT1G27730	AT5G20700
AT1G27730	AT5G49360
AT1G27730	AT5G63800
AT1G27730	AT1G04610
AT1G27730	AT1G22910
AT1G27730	AT1G44830
AT1G27730	AT1G53180
AT1G27730	AT2G37640
AT1G27730	AT2G40610
AT1G27730	AT2G41760
AT1G27730	AT2G42900
AT1G27730	AT2G47930
AT1G27730	AT3G08030
AT1G27730	AT4G27260
AT1G27730	AT4G34770
AT1G27730	AT4G35720
AT1G27730	AT5G02760
AT1G27730	AT5G12940
AT1G27730	AT5G14690
AT1G27730	AT5G25190
AT1G27730	AT5G49170
AT1G27730	AT5G50335
AT1G27730	AT5G53980
AT1G27730	AT5G60840
AT1G27730	AT5G66690
AT1G27730	AT1G04250
AT1G27730	AT1G06080
AT1G27730	AT1G27670
AT1G27730	AT1G75780
AT1G27730	AT2G06850
AT1G27730	AT2G38120
AT1G27730	AT2G39180
AT1G27730	AT3G08670
AT1G27730	AT3G19380
AT1G27730	AT3G44610
AT1G27730	AT3G53250
AT1G27730	AT4G23820
AT1G27730	AT4G23870
AT1G27730	AT4G37890
AT1G27730	AT5G11890
AT1G27730	AT5G22940
AT1G27730	AT5G23210
AT1G27730	AT5G51670
AT1G27730	AT5G54510
AT1G27730	AT5G59010
AT1G27730	AT5G64330
AT1G27730	AT5G67060
AT1G27730	AT1G01520
AT1G27730	AT1G65490
AT1G27730	AT1G66540
AT1G27730	AT1G70985
AT1G27730	AT1G79270
AT1G27730	AT1G79520
AT1G27730	AT2G29090
AT1G27730	AT3G50560
AT1G27730	AT4G34000
AT1G27730	AT1G21410
AT1G27730	AT1G55910
AT1G27730	AT1G64780
AT1G27730	AT1G64900
AT1G27730	AT1G75810
AT1G27730	AT2G19650
AT1G27730	AT2G21320
AT1G27730	AT2G24540
AT1G27730	AT2G27420
AT1G27730	AT2G37970
AT1G27730	AT2G41250
AT1G27730	AT2G41870
AT1G27730	AT3G21670
AT1G27730	AT3G24190
AT1G27730	AT3G27170
AT1G27730	AT4G13010
AT1G27730	AT4G17840
AT1G27730	AT4G27030
AT1G27730	AT4G27657
AT1G27730	AT4G33660
AT1G27730	AT4G36530
AT1G27730	AT5G23730
AT1G27730	AT5G47610
AT1G27730	AT5G54300
AT1G27730	AT5G59400
AT1G27730	AT1G10140
AT1G27730	AT1G49660
AT1G27730	AT1G69850
AT1G27730	AT2G19580
AT1G27730	AT2G35150
AT1G27730	AT2G38530
AT1G27730	AT3G10985
AT1G27730	AT4G14130
AT1G27730	AT4G15800
AT1G27730	AT5G01740
AT1G27730	AT1G07090
AT1G27730	AT1G07750
AT1G27730	AT1G22885
AT1G27730	AT2G22850
AT1G27730	AT2G24040
AT1G27730	AT2G32300
AT1G27730	AT2G34140
AT1G27730	AT2G40900
AT1G27730	AT2G41410
AT1G27730	AT3G14280
AT1G27730	AT3G20510
AT1G27730	AT3G49780
AT1G27730	AT3G60490
AT1G27730	AT4G14010
AT1G27730	AT4G23410
AT1G27730	AT4G35350
AT1G27730	AT4G38080
AT1G27730	AT5G03460
AT1G27730	AT5G09440
