master_regulator 1	master_regulator_2	p-value	fdr	enrichment	Intersection Genes
AT3G60490	AT5G60850	0.00521951063744753	0.0120244144700171	1.72864721485411	AT1G08510,AT1G12240,AT1G22640,AT1G64660,AT1G70940,AT1G71030,AT1G76490,AT2G15320,AT2G43060,AT2G43710,AT2G44130,AT3G55960,AT3G61460,AT4G01330,AT4G10310,AT4G30270,AT5G01520,AT5G05690,AT5G14780,AT5G48150,AT5G63800
AT1G27730	AT3G60490	0.143549962035374	0.184564236902624	1.28413793103448	AT1G06570,AT1G08510,AT1G70940,AT1G76490,AT2G44130,AT3G16850,AT3G29240,AT3G45600,AT3G55960,AT3G59940,AT3G61260,AT4G01330,AT4G14930,AT4G30270,AT5G05690,AT5G57340,AT5G60850,AT5G63800
AT1G27730	AT5G53210	0.188355108783899	0.232673957909522	1.21603970741902	AT1G06570,AT1G08510,AT1G23390,AT1G53560,AT1G56220,AT1G70940,AT1G76490,AT2G10940,AT2G21970,AT3G29240,AT3G49220,AT3G55960,AT3G61260,AT4G14930,AT5G05690,AT5G20700,AT5G23870,AT5G47560,AT5G49360,AT5G63800
AT5G47370	AT5G53210	0.00235733726786345	0.00675055672160897	1.91813055736283	AT1G06040,AT1G56220,AT1G70940,AT1G76490,AT2G10940,AT2G15580,AT2G43060,AT3G21260,AT3G49220,AT3G55960,AT4G05150,AT4G38690,AT5G01520,AT5G05690,AT5G15410,AT5G23870,AT5G47560,AT5G49360,AT5G63800
AT5G53210	AT5G66700	0.00110941305609732	0.0041113542667136	1.86459421804249	AT1G22640,AT1G23390,AT1G56220,AT1G70940,AT1G76490,AT2G10940,AT2G15580,AT2G22430,AT2G40970,AT2G43060,AT3G21260,AT4G05150,AT4G14930,AT4G38690,AT5G05690,AT5G14780,AT5G15410,AT5G20700,AT5G23870,AT5G47560,AT5G48150,AT5G49360,AT5G63800
AT1G69490	AT5G39610	0.00370650099194109	0.00972956510384536	2.29310344827586	AT1G12240,AT1G53560,AT1G64660,AT2G01570,AT2G13360,AT3G11660,AT3G13720,AT3G61460,AT4G30270,AT5G01520,AT5G60850,AT5G63800
AT5G39610	AT5G60850	0.0348997078689471	0.0523495618034206	2.03831417624521	AT1G12240,AT1G23390,AT1G53560,AT1G64660,AT3G61460,AT4G30270,AT5G01520,AT5G63800
AT1G01720	AT5G04340	0.310822509903722	0.36946826648933	1.78352490421456	AT1G64660,AT5G01520
AT4G31800	AT4G36740	2.2642678959698e-07	3.56622193615244e-06	1.60919540229885	AT1G01620,AT1G12240,AT1G22640,AT1G23390,AT1G52880,AT1G56220,AT1G70940,AT1G71030,AT1G71970,AT1G80180,AT2G01570,AT2G10940,AT2G15320,AT2G15580,AT2G21185,AT2G22430,AT2G22540,AT2G31110,AT2G39010,AT2G40970,AT2G42620,AT2G43060,AT2G43710,AT3G11660,AT3G11690,AT3G13062,AT3G14067,AT3G16850,AT3G17100,AT3G21260,AT3G29240,AT3G45600,AT3G49220,AT3G52060,AT3G53420,AT3G55960,AT3G59940,AT3G61460,AT3G62650,AT4G01330,AT4G05150,AT4G13830,AT4G14930,AT4G17340,AT4G27990,AT4G38690,AT5G01520,AT5G02230,AT5G05690,AT5G10770,AT5G14780,AT5G15410,AT5G20700,AT5G23870,AT5G47560,AT5G48150,AT5G49360,AT5G57340,AT5G60850,AT5G63800
AT4G36740	AT5G47370	0.000175447247435376	0.0010048342353117	1.69709858727024	AT1G12240,AT1G52880,AT1G56220,AT1G70940,AT1G71970,AT1G76490,AT2G01570,AT2G10940,AT2G15320,AT2G15580,AT2G31110,AT2G42620,AT2G43060,AT2G43710,AT3G11690,AT3G16850,AT3G21260,AT3G45600,AT3G49220,AT3G53420,AT3G55960,AT3G62650,AT4G05150,AT4G10310,AT4G13830,AT4G17030,AT4G38690,AT5G01520,AT5G02230,AT5G05690,AT5G15410,AT5G23870,AT5G47560,AT5G49360,AT5G57340,AT5G63800
AT1G52880	AT4G36740	0.00202821326418875	0.00672512819178375	1.75909305621162	AT1G12240,AT1G22640,AT1G71030,AT1G71970,AT1G76490,AT2G01570,AT2G43060,AT2G43710,AT3G11660,AT3G16850,AT3G26520,AT3G49220,AT3G61460,AT3G62650,AT4G10310,AT4G17030,AT4G30270,AT5G01520,AT5G23870,AT5G47560,AT5G49360,AT5G57340,AT5G60850,AT5G63800
AT1G69490	AT4G36740	0.00759653752379779	0.0154381246451374	1.67704580545548	AT1G12240,AT1G22640,AT1G71030,AT1G71970,AT2G01570,AT2G43060,AT2G43710,AT3G11660,AT3G14067,AT3G26520,AT3G49220,AT3G61460,AT3G62650,AT4G10310,AT4G17030,AT4G30270,AT5G01520,AT5G47560,AT5G49360,AT5G60850,AT5G63800
AT4G04890	AT4G36740	0.95130052637533	0.95130052637533	0.501616379310345	AT1G76490,AT5G10770,AT5G47560
AT1G27730	AT4G36740	0.0232496250670667	0.0385454310322422	1.34257963269288	AT1G01620,AT1G23390,AT1G56220,AT1G70940,AT1G71970,AT1G76490,AT2G01570,AT2G10940,AT2G31110,AT2G42620,AT3G11660,AT3G11690,AT3G16850,AT3G17100,AT3G26520,AT3G29240,AT3G45600,AT3G49220,AT3G55960,AT3G59940,AT4G01330,AT4G14930,AT4G17030,AT4G27990,AT4G30270,AT5G05690,AT5G10770,AT5G20700,AT5G23870,AT5G47560,AT5G49360,AT5G57340,AT5G60850,AT5G63800
AT2G22540	AT4G36740	0.0256892781971598	0.0414980647800274	1.4383265356569	AT1G12240,AT1G23390,AT1G70940,AT1G71030,AT1G76490,AT2G01570,AT2G22430,AT2G31110,AT2G39010,AT2G43060,AT3G11930,AT3G13062,AT3G26520,AT3G61460,AT3G62650,AT4G01330,AT4G10310,AT4G17030,AT4G30270,AT5G05690,AT5G14780,AT5G47560,AT5G48150,AT5G57340,AT5G63800
AT2G36270	AT4G36740	0.0175500858189982	0.0307126501832468	1.51929899247907	AT1G22640,AT1G23390,AT1G52880,AT1G56220,AT1G71030,AT2G01570,AT2G15320,AT2G22430,AT2G40970,AT2G42620,AT2G43060,AT3G11690,AT3G14067,AT3G16850,AT3G45600,AT3G49220,AT3G53420,AT3G59940,AT5G01520,AT5G14780,AT5G20700,AT5G47560,AT5G60850
AT2G18550	AT4G14770	0.0115308660559167	0.0220134715612955	2.00646551724138	AT1G56220,AT1G70940,AT1G71970,AT2G15580,AT2G22430,AT2G43060,AT3G45600,AT3G59940,AT4G30270,AT5G20700,AT5G49360,AT5G57340
AT1G27730	AT4G14770	0.013475558971221	0.0249139507405597	1.71622207764043	AT1G56220,AT1G70940,AT1G71970,AT2G10940,AT2G42620,AT2G44130,AT3G26520,AT3G45600,AT3G59940,AT3G61260,AT4G17030,AT4G30270,AT5G05690,AT5G20700,AT5G49360,AT5G57340,AT5G60850
AT4G04890	AT4G31800	0.898528879026437	0.913021280301057	0.62947937795808	AT2G44130,AT3G26510,AT5G10770,AT5G47560
AT2G18550	AT4G04890	0.39232990460819	0.457718222042888	1.33764367816092	AT1G76490,AT5G10770,AT5G47560
AT2G36270	AT5G67060	2.59680123432453e-05	0.000204498097203057	2.05518763796909	AT1G06570,AT1G22640,AT1G23390,AT1G52880,AT1G53560,AT1G56220,AT1G64660,AT1G71030,AT2G01570,AT2G15320,AT2G22430,AT2G40970,AT2G42620,AT2G43060,AT2G44130,AT3G11690,AT3G13720,AT3G14067,AT3G16850,AT3G26510,AT3G45600,AT3G49220,AT3G53420,AT3G59940,AT3G61260,AT5G01520,AT5G20700,AT5G47560,AT5G60850
AT2G36270	AT5G47370	0.0436722985585249	0.06398499556249	1.63664638269101	AT1G52880,AT1G56220,AT2G01570,AT2G15320,AT2G42620,AT2G43060,AT3G11690,AT3G16850,AT3G45600,AT3G49220,AT3G53420,AT5G01520,AT5G47560
AT2G22430	AT2G36270	0.00684710132765973	0.0143789127880854	1.57192025456198	AT1G06570,AT1G22640,AT1G23390,AT1G52880,AT1G53560,AT1G56220,AT1G64660,AT1G71030,AT2G01570,AT2G15320,AT2G40970,AT2G43060,AT2G44130,AT3G11690,AT3G13720,AT3G14067,AT3G26510,AT3G45600,AT3G49220,AT3G59940,AT3G61260,AT5G01520,AT5G14780,AT5G20700,AT5G47560,AT5G60850
AT1G01720	AT2G36270	0.00233538314710987	0.00675055672160897	1.87739463601533	AT1G06570,AT1G22640,AT1G23390,AT1G53560,AT1G64660,AT1G71030,AT2G01570,AT2G22430,AT2G43060,AT3G13720,AT3G14067,AT3G26510,AT3G49220,AT3G59940,AT3G61260,AT5G01520,AT5G14780,AT5G20700,AT5G47560,AT5G60850
AT2G18550	AT2G22540	0.00229685782002355	0.00675055672160897	2.0213282247765	AT1G12240,AT1G23390,AT1G70940,AT1G76490,AT2G01570,AT2G22430,AT2G31110,AT2G43060,AT3G11930,AT3G62650,AT4G01330,AT4G30270,AT5G14780,AT5G47560,AT5G48150,AT5G57340,AT5G63800
AT2G22540	AT5G67060	0.00653453712999159	0.0141957185927404	1.66968288905193	AT1G06040,AT1G08510,AT1G23390,AT1G34000,AT1G70940,AT1G71030,AT1G76490,AT2G01570,AT2G13360,AT2G22430,AT2G39010,AT2G43060,AT2G45960,AT3G61460,AT3G62650,AT4G01330,AT4G30270,AT5G05690,AT5G47560,AT5G48150,AT5G57340,AT5G63800
AT2G22430	AT2G22540	0.0094447505775606	0.0185943526995724	1.55539962576851	AT1G06040,AT1G08510,AT1G12240,AT1G23390,AT1G34000,AT1G70940,AT1G71030,AT1G76490,AT2G01570,AT2G13360,AT2G39010,AT2G43060,AT2G45960,AT3G06170,AT3G13062,AT3G26520,AT3G62650,AT4G01330,AT4G10310,AT4G30270,AT5G05690,AT5G14780,AT5G47560,AT5G48150,AT5G63800
AT2G18550	AT2G22430	2.32869496979178e-05	0.000204498097203057	1.92971547013379	AT1G01620,AT1G12240,AT1G23390,AT1G56220,AT1G70940,AT1G71970,AT1G76490,AT2G01570,AT2G15580,AT2G22540,AT2G40970,AT2G43060,AT3G14067,AT3G21260,AT3G45600,AT3G59940,AT3G62650,AT4G01330,AT4G13830,AT4G17340,AT4G30270,AT4G38690,AT5G02230,AT5G06280,AT5G10770,AT5G14780,AT5G15410,AT5G20700,AT5G23870,AT5G47560,AT5G48150,AT5G49360,AT5G63800
AT2G18550	AT5G47370	0.000791972393910931	0.00332628405442591	1.94566353187043	AT1G12240,AT1G56220,AT1G70940,AT1G71970,AT1G76490,AT2G01570,AT2G15580,AT2G31110,AT2G43060,AT3G16850,AT3G21260,AT3G45600,AT3G62650,AT4G13830,AT4G38690,AT5G02230,AT5G15410,AT5G23870,AT5G47560,AT5G49360,AT5G57340,AT5G63800
AT1G69490	AT2G18550	0.0778863291812059	0.106670407356869	1.62138627655869	AT1G12240,AT1G71970,AT2G01570,AT2G43060,AT3G14067,AT3G62650,AT4G30270,AT5G47560,AT5G49360,AT5G63800
AT1G52880	AT5G66700	0.00476332171793378	0.0115418949319165	1.89499521072797	AT1G12240,AT1G22640,AT1G71970,AT1G76490,AT2G01570,AT2G43060,AT2G43710,AT3G16850,AT4G10310,AT4G17030,AT4G30270,AT5G23870,AT5G47560,AT5G49360,AT5G57340,AT5G60850,AT5G63800
AT1G52880	AT5G60850	0.00298679175738837	0.00818121220502032	1.92620689655172	AT1G08510,AT1G12240,AT1G22640,AT1G53560,AT1G64660,AT1G71030,AT1G76490,AT2G43060,AT2G43710,AT2G44130,AT3G26520,AT3G49220,AT3G61460,AT4G10310,AT4G30270,AT5G01520,AT5G63800,AT5G65380
AT1G44830	AT5G60850	0.0609123726058433	0.0872154425947302	2.07119021134594	AT1G12240,AT1G64660,AT1G76490,AT2G15320,AT3G49220,AT3G53420
AT1G06850	AT1G44830	0.0343679344355931	0.0523495618034206	3.05747126436782	AT1G76490,AT3G49220,AT3G59940,AT5G57340
AT1G36060	AT4G31800	0.847901962561012	0.890297060689063	0.563218390804598	AT3G53420
AT1G27730	AT4G31800	0.018605510067356	0.0316796522768494	1.35213079380887	AT1G01620,AT1G06570,AT1G08510,AT1G23390,AT1G53560,AT1G56220,AT1G70940,AT1G71970,AT2G01570,AT2G10940,AT2G31110,AT2G42620,AT2G44130,AT3G11660,AT3G11690,AT3G16850,AT3G17100,AT3G29240,AT3G45600,AT3G49220,AT3G55960,AT3G59940,AT3G61260,AT4G01330,AT4G14930,AT4G27990,AT5G05690,AT5G10770,AT5G20700,AT5G23870,AT5G47560,AT5G49360,AT5G57340,AT5G60850,AT5G63800
AT1G27730	AT5G67060	8.11642358863522e-05	0.000511334686084019	1.80118356663253	AT1G01620,AT1G06570,AT1G08510,AT1G23390,AT1G53560,AT1G56220,AT1G70940,AT1G71970,AT1G76490,AT2G01570,AT2G10940,AT2G42620,AT2G44130,AT3G11660,AT3G11690,AT3G16850,AT3G17100,AT3G29240,AT3G45600,AT3G49220,AT3G55960,AT3G59940,AT3G61260,AT4G01330,AT4G14930,AT4G30270,AT5G05690,AT5G20700,AT5G23870,AT5G47560,AT5G49360,AT5G57340,AT5G60850,AT5G63800
AT1G27730	AT5G60850	0.592462637866666	0.643537003199999	0.97750884173298	AT1G01620,AT1G08510,AT1G23390,AT1G53560,AT1G70940,AT1G76490,AT2G10940,AT2G31110,AT2G42620,AT2G44130,AT3G11690,AT3G17100,AT3G26520,AT3G49220,AT3G55960,AT4G01330,AT4G30270,AT5G05690,AT5G63800
AT2G01570	AT5G47370	0.0934210779926344	0.12522399816034	2.67528735632184	AT1G70940,AT5G02230,AT5G49360
AT5G47370	AT5G66700	0.00106227605886135	0.0041113542667136	1.72202404544854	AT1G12240,AT1G52880,AT1G56220,AT1G70940,AT1G71970,AT1G76490,AT2G01570,AT2G10940,AT2G15580,AT2G31110,AT2G43060,AT2G43710,AT3G11690,AT3G16850,AT3G21260,AT3G45600,AT4G05150,AT4G10310,AT4G17030,AT4G38690,AT5G02230,AT5G05690,AT5G15410,AT5G23870,AT5G47560,AT5G49360,AT5G57340,AT5G63800
AT2G01570	AT2G22430	0.0331792325381478	0.0522572912475828	2.37803320561941	AT1G53560,AT1G70940,AT3G14067,AT3G26510,AT5G02230,AT5G49360
