master_regulator 1	master_regulator_2	p-value	fdr	enrichment	Intersection Genes
AT3G18550	AT1G09530	1	1	0	
AT3G18550	AT4G34000	0.994765532446042	1	0.213141025641026	AT3G14890
AT3G18550	AT1G22640	0.998129881616193	1	0.178763440860215	AT3G19590
AT3G18550	AT1G01720	0.999999998218142	1	0.135162601626016	AT2G16440,AT3G19590,AT5G22880
AT3G18550	AT1G77450	0.999999999869542	1	0.051791277258567	AT3G19590
AT3G18550	AT5G05410	0.99998488197735	1	0.102623456790123	AT3G19590
AT3G18550	AT1G69490	0.999998289171242	1	0.142094017094017	AT1G21810,AT5G22880
AT3G18550	AT4G31800	0.999999999963193	1	0.277083333333333	AT1G18370,AT1G21810,AT2G17560,AT2G38810,AT3G14890,AT3G20260,AT4G14770,AT4G24790,AT5G22880,AT5G51560,AT5G60210
AT3G18550	AT4G36740	0.999999987658254	1	0.30448717948718	AT1G18370,AT1G21810,AT2G16440,AT3G12170,AT3G20260,AT4G14770,AT4G24790,AT5G51560,AT5G60210,AT5G62710
AT3G18550	AT4G14770	0.992442177964252	1	0.454234972677596	AT1G21810,AT2G17560,AT3G19590,AT5G22880,AT5G51560
AT3G18550	AT5G60850	0.999995821525554	1	0.312836021505376	AT1G18370,AT1G21810,AT1G80370,AT2G16440,AT3G14890,AT3G20260,AT5G62710
AT3G18550	AT2G36270	0.99994870616441	1	0.395833333333333	AT2G16440,AT2G17560,AT3G14890,AT3G19590,AT3G52110,AT3G53650,AT4G14770,AT4G24790,AT5G51560
AT3G18550	AT2G22540	0.994393442327139	1	0.548679867986799	AT1G15660,AT1G18370,AT3G12170,AT3G14890,AT3G19590,AT3G20260,AT4G14770,AT4G37210,AT5G51560,AT5G62710
AT3G18550	AT2G18550	0.999991899398176	1	0.271650326797386	AT1G21810,AT3G12170,AT4G14770,AT4G24790,AT5G51560
AT3G18550	AT1G52880	0.999997060857794	1	0.191091954022988	AT1G21810,AT3G19590,AT5G22880
AT3G18550	AT5G66700	0.999999989629709	1	0.175925925925926	AT1G18370,AT1G21810,AT4G14770,AT4G24790
AT3G18550	AT2G01570	0.98214852726404	1	0.277083333333333	AT1G18370
AT3G18550	AT2G22430	0.999999561954889	1	0.453843390804598	AT1G01370,AT1G15660,AT1G18370,AT1G80370,AT2G16270,AT2G16440,AT2G17560,AT2G38810,AT3G14890,AT3G19590,AT3G20260,AT3G52110,AT3G53650,AT4G24790,AT4G37210,AT5G51560,AT5G55820,AT5G60210,AT5G62710
AT3G18550	AT4G01120	0.909623253076856	1	0.461805555555556	AT3G14890
AT3G18550	AT2G43060	1	1	0	
AT3G18550	AT5G47370	0.999999925330906	1	0.119175627240143	AT2G16270,AT4G14770
AT1G43700	AT4G01120	1	1	0	
AT1G43700	AT4G14770	0.618080293635176	1	1.00757575757576	AT5G27330,AT5G51560
AT3G60490	AT5G17800	0.988128461625104	1	0.251893939393939	AT1G19850
AT3G60490	AT4G01120	0.752909615010765	1	0.791666666666667	AT3G14890
