Locus Identifier	Gene Model Name	Gene Model Description	Gene Model Type	Primary Gene Symbol	All Gene Symbols
AT4G11660	AT4G11660.1	member of Heat Stress Transcription Factor (Hsf) family	protein_coding	 (AT-HSFB2B)	 (AT-HSFB2B);HEAT SHOCK TRANSCRIPTION FACTOR  B2B (HSFB2B); (HSF7)	
AT1G01720	AT1G01720.1	Belongs to a large family of putative transcriptional activators with NAC domain. Transcript level increases in response to wounding and abscisic acid. ATAF1 attentuates ABA signaling and sythesis. Mutants are hyposensitive to ABA. The mRNA is cell-to-cell mobile.	protein_coding	 (ATAF1)	 (ATAF1); (ANAC2);ARABIDOPSIS NAC DOMAIN CONTAINING PROTEIN 2 (ANAC002)	
AT5G47370	AT5G47370.1	homeobox-leucine zipper genes induced by auxin, but not by other phytohormones.  Plays opposite roles in the shoot and root tissues in regulating auxin-mediated morphogenesis.	protein_coding	 (HAT2)	 (HAT2)	
AT2G36270	AT2G36270.1	Encodes a member of the basic leucine zipper transcription factor family, involved in ABA signalling during seed maturation and germination. The Arabidopsis abscisic acid (ABA)-insensitive abi5 mutants have pleiotropic defects in ABA response, including decreased sensitivity to ABA inhibition of germination and altered expression of some ABA-regulated genes. Comparison of seed and ABA-inducible vegetative gene expression in wild-type and abi5-1 plants indicates that ABI5 regulates a subset of late embryogenesis-abundant genes during both developmental stages.	protein_coding	ABA INSENSITIVE 5 (ABI5)	ABA INSENSITIVE 5 (ABI5); (DPBF1); (ATABI5);GROWTH-INSENSITIVITY TO ABA 1 (GIA1)	
AT4G34000	AT4G34000.1	Encodes an ABA-responsive element-binding protein with similarity to transcription factors that is expressed in response to stress and abscisic acid.	protein_coding	ABSCISIC ACID RESPONSIVE ELEMENTS-BINDING FACTOR 3 (ABF3)	ABSCISIC ACID RESPONSIVE ELEMENTS-BINDING FACTOR 3 (ABF3); (ATABF3);DC3 PROMOTER-BINDING FACTOR 5 (DPBF5)	
AT1G06850	AT1G06850.1	basic leucine-zipper 52;(source:Araport11)	protein_coding	BASIC LEUCINE-ZIPPER 52 (bZIP52)	BASIC LEUCINE-ZIPPER 52 (AtbZIP52);BASIC LEUCINE-ZIPPER 52 (bZIP52)	
AT3G18550	AT3G18550.1	Encodes a TCP transcription factor, closely related to teosinte branched1, arrests axillary bud development and prevents axillary bud outgrowth.	protein_coding	BRANCHED 1 (BRC1)	BRANCHED 1 (BRC1); (ATBRC1); (ATTCP18); (TCP18)	
AT5G05410	AT5G05410.1	Encodes a transcription factor that specifically binds to DRE/CRT cis elements (responsive to drought and low-temperature stress).  Belongs to the DREB subfamily A-2 of ERF/AP2 transcription factor family (DREB2A). There are eight members in this subfamily including DREB2B.  The protein contains one AP2 domain. Overexpression of transcriptional activation domain of DREB2A resulted in significant drought stress tolerance but only slight freezing tolerance in transgenic Arabidopsis plants. Microarray and RNA gel blot analyses revealed that DREB2A regulates expression of many water stress?inducible genes. The mRNA is cell-to-cell mobile.	protein_coding	DRE-BINDING PROTEIN 2A (DREB2A)	DEHYDRATION-RESPONSIVE ELEMENT BINDING PROTEIN 2 (DREB2);DRE-BINDING PROTEIN 2A (DREB2A)	
AT1G44830	AT1G44830.1	Encodes a nuclear-localized member of the DREB subfamily A-5 of ERF/AP2 transcription factor family. The protein contains one AP2 domain. There are 15 members in this subfamily including RAP2.1, RAP2.9 and RAP2.10.  Overexpression in cultured cells results in an increase in pectin deposition.ERF014 differentially regulates responses to bacterial and fungal  pathogens.	protein_coding	ERF TRANSCRIPTION FACTOR 14 (ERF014)	 (ATERF014);ERF TRANSCRIPTION FACTOR 14 (ERF014)	
AT5G25190	AT5G25190.1	encodes a member of the ERF (ethylene response factor) subfamily B-6 of ERF/AP2 transcription factor family. The protein contains one AP2 domain. There are 12 members in this subfamily including RAP2.11.	protein_coding	ETHYLENE AND SALT INDUCIBLE 3 (ESE3)	ETHYLENE AND SALT INDUCIBLE 3 (ESE3)	
AT3G60490	AT3G60490.1	encodes a member of the DREB subfamily A-4 of ERF/AP2 transcription factor family. The protein contains one AP2 domain. There are 17 members in this subfamily including TINY.	protein_coding	ETHYLENE-RESPONSIVE TRANSCRIPTION FACTOR 35 (ERF35)	ETHYLENE-RESPONSIVE TRANSCRIPTION FACTOR 35 (ERF35)	
